,rev_ids,ratings
321,623004627,Stub
322,623334577,Stub
323,623594207,Stub
324,624468970,Stub
325,625509885,Start
326,626606789,Stub
327,627001041,Stub
328,627051151,Stub
329,627432937,Stub
330,627547024,
331,628261896,Stub
332,628268705,Stub
333,628270736,Stub
334,628312759,Stub
335,628379479,Stub
336,628563978,Stub
337,628619000,Stub
338,628766656,Stub
339,628988952,Stub
340,629562076,Stub
341,629818376,Stub
342,630396351,Stub
343,630396786,Stub
344,630704768,Stub
345,631002637,Stub
346,631437331,Stub
347,631581752,Start
348,632008524,Start
349,632261377,Stub
350,632447328,Stub
351,632582059,Stub
352,633612729,Start
353,633883875,Stub
354,634032715,B
355,635021360,Stub
356,635175072,Start
357,635240253,Stub
358,635814126,Stub
359,636911471,Stub
360,637674341,Stub
361,637801253,Stub
362,638039494,Start
363,638214719,Stub
364,638362866,Stub
365,638377138,Stub
366,638566016,Start
367,638571205,Stub
368,638599355,Start
369,639021339,Stub
370,639061161,Start
371,639471171,Stub
372,640014648,Stub
373,640214913,Stub
374,640826254,Stub
375,641422326,Stub
376,641619789,Stub
377,642383400,Stub
378,642597959,Stub
379,642657096,Stub
380,642657247,Stub
381,643410335,Start
382,643741011,Stub
383,643746000,Stub
384,643932216,Start
385,643932220,Start
386,643932225,Start
387,643932226,Start
388,643932239,Start
389,643932242,Start
390,644024203,Stub
391,644041882,Stub
392,644399375,Stub
393,645225697,Start
394,645408814,Stub
395,645944000,Stub
396,645944060,Stub
397,646131340,Stub
398,647367482,Start
399,647450883,Stub
400,647483021,Stub
401,647572730,Stub
402,647573541,Stub
403,647832959,Stub
404,647893858,Stub
405,647908204,Stub
406,648048611,Stub
407,648271473,Stub
408,648935308,Stub
409,649098580,Stub
410,650458255,Stub
411,650462344,Stub
412,650493614,Stub
413,650493642,Stub
414,650494773,Stub
415,651250302,Stub
416,651745952,Stub
417,651785828,Stub
418,651856758,Start
419,652811277,Stub
420,653467222,Stub
421,653527941,Stub
422,653895210,Stub
423,654012510,Stub
424,655031906,Stub
425,655032578,Stub
426,655390291,Stub
427,655980284,Stub
428,656352211,Stub
429,656386131,Stub
430,656737492,Stub
431,657176628,Start
432,658939122,Stub
433,659315526,Stub
434,660214915,Start
435,660242064,Stub
436,660579437,Stub
437,660884852,Start
438,662458594,Stub
439,662681733,Start
440,662927043,Start
441,663088604,Stub
442,663166199,Stub
443,663348266,Stub
444,663572469,Stub
445,663617582,Stub
446,663783398,Stub
447,663880497,Stub
448,663892878,Stub
449,664532059,Stub
450,664669156,Stub
451,664787336,Stub
452,664793790,Stub
453,664814622,Stub
454,664822251,Stub
455,665948270,Stub
456,666029819,Stub
457,666596918,Stub
458,666610075,Start
459,666752677,Stub
460,666834672,Stub
461,666855555,Stub
462,666992156,Stub
463,666993286,Stub
464,666993638,Stub
465,667194771,Stub
466,667198201,Start
467,667815878,Start
468,667821864,C
469,667873261,Start
470,667906849,Start
471,668091068,Stub
472,668095014,Stub
473,668258382,Stub
474,668449610,Stub
475,668646568,Stub
476,668646640,Stub
477,668646674,Stub
478,668646702,Stub
479,668646730,Stub
480,668830946,Stub
481,668917051,Stub
482,668917865,Stub
483,668917996,Stub
484,668918051,Stub
485,668918090,Stub
486,668918491,Stub
487,668918594,Stub
488,668918611,Stub
489,668918637,Stub
490,668918804,Stub
491,668936881,Stub
492,668936989,Stub
493,668937182,Stub
494,668937204,Stub
495,669010261,Stub
496,669039498,Stub
497,669266906,Stub
498,669301445,Stub
499,669387487,Start
500,669444168,Stub
501,669565720,Stub
502,669571173,Stub
503,669719757,Stub
504,669831602,Stub
505,669833212,Stub
506,669833349,Stub
507,669835390,Stub
508,669841183,Stub
509,669855022,Stub
510,669862709,Stub
511,669869895,Stub
512,669981316,Stub
513,669985109,Stub
514,669987106,Stub
515,670134982,Stub
516,670210734,Start
517,670462475,Stub
518,670625952,Stub
519,670893206,Stub
520,670917017,Stub
521,670960027,Stub
522,670971940,Stub
523,671016281,Stub
524,671023940,Stub
525,671029717,Stub
526,671032132,Stub
527,671047987,Stub
528,671073599,Stub
529,671122320,Start
530,671189093,Stub
531,671338098,Stub
532,671338216,Stub
533,671455150,Stub
534,671461616,Stub
535,671462644,Stub
536,671473289,Stub
537,671475479,Stub
538,671483959,Stub
539,671484594,
540,671511760,Stub
541,671515606,Stub
542,671516033,Stub
543,671637265,Stub
544,671868722,Stub
545,671890885,Stub
546,671891037,Stub
547,671895550,Stub
548,671897239,Stub
549,671903264,Stub
550,672119030,Stub
551,672156082,Stub
552,672284154,Stub
553,672515581,Stub
554,672547562,Stub
555,672709444,Stub
556,672862914,Stub
557,673008587,Stub
558,673393730,Stub
559,673743772,Start
560,674487383,Stub
561,674576443,Stub
562,674702694,Stub
563,674919905,Stub
564,675271208,Stub
565,675303236,Start
566,675376529,Stub
567,676040670,Stub
568,676043559,Stub
569,676044272,Stub
570,676498385,Stub
571,676610041,Stub
572,676612108,Stub
573,676661990,Stub
574,676691070,Stub
575,676732644,Stub
576,676734572,Stub
577,676782180,Stub
578,676828191,B
579,676841743,Stub
580,676947124,Stub
581,677094551,Stub
582,677317570,Start
583,677435096,Stub
584,677481095,Stub
585,677516121,Stub
586,677523953,Stub
587,677568976,Stub
588,677724847,Stub
589,677747943,Stub
590,677750304,Start
591,677769770,Stub
592,677786528,Start
593,677974642,Stub
594,678140107,Stub
595,678440540,Stub
596,678532348,Start
597,678595657,Stub
598,678638092,Stub
599,678702587,Start
600,678721991,Stub
601,679247120,Start
602,679294949,Stub
603,679509452,Stub
604,679547012,Stub
605,679559247,Stub
606,679591301,Stub
607,679623758,Stub
608,679873929,Start
609,680016822,Start
610,680036029,Start
611,680071857,GA
612,680161213,Start
613,680174895,Stub
614,680205631,C
615,680370867,Stub
616,680532939,Stub
617,680614363,Stub
618,680618398,Stub
619,680618797,Stub
620,680629551,Stub
621,680680191,Stub
622,680722683,Stub
623,680886613,Stub
624,680933208,Stub
625,680981536,Stub
626,681177706,Stub
627,681201779,Stub
628,681605695,Stub
629,682145001,Start
630,682149007,Stub
631,682166816,Stub
632,682576258,Start
633,682928660,Stub
634,683020488,Stub
635,683127263,Stub
636,683282915,Stub
637,683417360,Start
638,683426884,Stub
639,683631802,Stub
640,683715284,Stub
641,683946857,Stub
642,683996491,Stub
643,684023803,
644,684023859,
645,684050793,Stub
646,684060626,Stub
647,684179656,Stub
648,684295893,Stub
649,684464777,Stub
650,684499128,Stub
651,684525811,Stub
652,684537777,Stub
653,684542057,Start
654,684660655,Stub
655,684804678,Stub
656,684821806,Start
657,684859066,Stub
658,684879320,Start
659,684903534,Stub
660,684903869,Stub
661,685116600,Stub
662,685320824,C
663,685347694,Stub
664,685720694,Stub
665,686050095,Stub
666,686269631,Stub
667,686349441,Stub
668,686375687,Stub
669,686406513,Stub
670,686619225,Stub
671,686777395,Start
672,686829001,Stub
673,687093229,C
674,687109778,Stub
675,687127320,Stub
676,687130572,Stub
677,687134370,Stub
678,687138552,Stub
679,687159311,Stub
680,687159388,Start
681,687159391,Start
682,687159546,Start
683,687160422,Stub
684,687285060,Stub
685,687492743,Stub
686,687613810,Stub
687,687837173,Stub
688,687882717,Start
689,688145583,Start
690,688430552,Stub
691,688501356,Stub
692,688524967,Stub
693,688537236,Stub
694,688590526,Stub
695,688695923,Stub
696,688697227,Start
697,688763099,Stub
698,689248087,Stub
699,689614169,Stub
700,689844012,Stub
701,689893447,Stub
702,689932213,Stub
703,689944992,Stub
704,689950541,Stub
705,690074710,Start
706,690088836,Stub
707,690152474,Start
708,690205437,Stub
709,690430012,Stub
710,690548204,Stub
711,690700220,Stub
712,690768683,Stub
713,690770856,Stub
714,691045510,Start
715,691201135,Stub
716,691346630,Stub
717,691389889,Stub
718,691747234,Stub
719,692123101,Stub
720,692141335,Stub
721,692173141,Stub
722,692298286,Stub
723,692475749,Stub
724,692502721,Stub
725,692502986,Stub
726,692684868,Stub
727,693011077,Stub
728,693055898,Stub
729,693179500,Stub
730,693208023,Stub
731,693211421,Stub
732,693292931,Start
733,693336296,Stub
