club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Milan AC,Paolo Di Canio,26,Centre-Forward,Juventus,£675k,in,Italy;,0.675,Serie A,1994,1994/1995
Milan AC,Ruud Gullit,31,Second Striker,Sampdoria,£540k,in,Netherlands;Suriname;,0.54,Serie A,1994,1994/1995
Milan AC,Massimo Orlando,23,Forward,Fiorentina,?,in,Italy;,NA,Serie A,1994,1994/1995
Milan AC,Alessandro Melli,24,Centre-Forward,Sampdoria,?,in,Italy;,NA,Serie A,1994,1994/1995
Milan AC,Gianluca Sordo,24,Right Midfield,Torino,?,in,Italy;,NA,Serie A,1994,1994/1995
Milan AC,Giovanni Stroppa,26,Attacking Midfield,Foggia,?,in,Italy;,NA,Serie A,1994,1994/1995
Milan AC,Cristian Brocchi,18,Central Midfield,Milan U19,-,in,Italy;,0,Serie A,1994,1994/1995
Milan AC,Roberto Colombo,18,Goalkeeper,Milan U19,-,in,Italy;,0,Serie A,1994,1994/1995
Milan AC,Massimo Oddo,18,Right-Back,Milan U19,-,in,Italy;,0,Serie A,1994,1994/1995
Milan AC,Francesco De Francesco,16,Second Striker,Milan U19,-,in,Italy;,0,Serie A,1994,1994/1995
Milan AC,Jean-Pierre Papin,30,Centre-Forward,Bayern Munich,£2.48m,out,France;,2.48,Serie A,1994,1994/1995
Milan AC,Giovane Elber,21,Centre-Forward,VfB Stuttgart,£1.44m,out,Brazil;,1.44,Serie A,1994,1994/1995
Milan AC,Brian Laudrup,25,Right Winger,Rangers,Free transfer,out,Denmark;,NA,Serie A,1994,1994/1995
Milan AC,Francesco Cozza,20,Attacking Midfield,Reggiana,Loan,out,Italy;,0,Serie A,1994,1994/1995
Milan AC,Florin Raducioiu,24,Centre-Forward,Espanyol,?,out,Romania;Italy;,NA,Serie A,1994,1994/1995
Milan AC,Enzo Gambaro,28,Left-Back,Fiorentina,Loan,out,Italy;,0,Serie A,1994,1994/1995
Milan AC,Angelo Carbone,26,Right Midfield,Fiorentina,Loan,out,Italy;,0,Serie A,1994,1994/1995
Milan AC,Daniele Guerzoni,18,Centre-Forward,Calcio Monza,?,out,Italy;,NA,Serie A,1994,1994/1995
Milan AC,Enzo Gambaro,28,Left-Back,Reggiana,Loan,out,Italy;,0,Serie A,1994,1994/1995
Milan AC,Alessandro Orlando,24,Left-Back,Juventus,?,out,Italy;,NA,Serie A,1994,1994/1995
Milan AC,Giuseppe Cardone,20,Right-Back,SC Leffe,Loan,out,Italy;,0,Serie A,1994,1994/1995
Milan AC,Ruud Gullit,32,Second Striker,Sampdoria,?,out,Netherlands;Suriname;,NA,Serie A,1994,1994/1995
Milan AC,Roberto Lorenzini,28,Left-Back,Torino,?,out,Italy;,NA,Serie A,1994,1994/1995
Milan AC,Fernando De Napoli,30,Central Midfield,Reggiana,?,out,Italy;,NA,Serie A,1994,1994/1995
Milan AC,Marco Pullo,26,Defender,Pro Sesto,?,out,Italy;,NA,Serie A,1994,1994/1995
Milan AC,Francesco Cozza,20,Attacking Midfield,Vicenza,Loan,out,Italy;,0,Serie A,1994,1994/1995
AS Roma,Marco Branca,29,Centre-Forward,AC Parma,?,in,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Jonas Thern,27,Central Midfield,SSC Napoli,?,in,Sweden;,NA,Serie A,1994,1994/1995
AS Roma,Francesco Statuto,22,Central Midfield,Udinese,?,in,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Francesco Colonnese,22,Centre-Back,Cremonese,?,in,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Francesco Moriero,25,Right Winger,Cagliari Calcio,?,in,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Ferro Tontini,24,Goalkeeper,Modena,?,in,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Dario Rossi,21,Defender,Modena,?,in,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Giampiero Maini,22,Defensive Midfield,Ascoli,?,in,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Daniel Fonseca,24,Centre-Forward,SSC Napoli,?,in,Uruguay;,NA,Serie A,1994,1994/1995
AS Roma,Andrea Borsa,22,Centre-Back,Pistoiese,?,in,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Sandro Mazzoni,20,Midfielder,Unknown,?,in,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Giampaolo Di Magno,20,Goalkeeper,Roma U19,-,in,Italy;,0,Serie A,1994,1994/1995
AS Roma,Lorenzo Stovini,17,Centre-Back,Roma U19,-,in,Italy;,0,Serie A,1994,1994/1995
AS Roma,Andrea Cupi,18,Centre-Back,Roma U19,-,in,Italy;,0,Serie A,1994,1994/1995
AS Roma,Sinisa Mihajlovic,25,Centre-Back,Sampdoria,£5.40m,out,Serbia;Italy;,5.4,Serie A,1994,1994/1995
AS Roma,Thomas Häßler,28,Attacking Midfield,Karlsruher SC,£3.33m,out,Germany;,3.33,Serie A,1994,1994/1995
AS Roma,Roberto Muzzi,23,Centre-Forward,Cagliari Calcio,Free transfer,out,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Andrea Pazzagli,34,Goalkeeper,Prato,?,out,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Emilio Pellegrino,19,Defender,Unknown,?,out,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Alessio Scarchilli,21,Attacking Midfield,Udinese,?,out,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Daniele Berretta,22,Defensive Midfield,Cagliari Calcio,Loan,out,Italy;,0,Serie A,1994,1994/1995
AS Roma,Antonio Comi,29,Centre-Back,Como,?,out,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Ferro Tontini,25,Goalkeeper,Lucchese,?,out,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Antonino Bernardini,20,Defensive Midfield,Torino,Loan,out,Italy;,0,Serie A,1994,1994/1995
AS Roma,Valter Bonacina,29,Defensive Midfield,Atalanta,?,out,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Walter Lapini,20,Forward,Unknown,?,out,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Dario Rossi,21,Defender,Lecce,?,out,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Ruggiero Rizzitelli,26,Centre-Forward,Torino,?,out,Italy;,NA,Serie A,1994,1994/1995
AS Roma,Gianluca Festa,25,Right-Back,Inter,"End of loanJun 30, 1994",out,Italy;,0,Serie A,1994,1994/1995
Brescia Calcio,Eugenio Corini,24,Defensive Midfield,SSC Napoli,?,in,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Marco Nappi,28,Second Striker,Genoa,?,in,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Ivano Bonetti,30,Left Midfield,Torino,?,in,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Stefano Borgonovo,30,Forward,Udinese,Loan,in,Italy;,0,Serie A,1994,1994/1995
Brescia Calcio,Ivan Gamberini,26,Goalkeeper,Spezia,?,in,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Giovanni Francini,31,Left-Back,Genoa,?,in,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Daniele Adani,20,Centre-Back,Lazio,?,in,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Danut Lupu,27,Attacking Midfield,Rapid Bucharest,?,in,Romania;,NA,Serie A,1994,1994/1995
Brescia Calcio,Luigi Corino,28,Defender,Lazio,?,in,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Fabrizio Baldini,21,Midfielder,AC Pisa,?,in,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Jorge Cadete,26,Centre-Forward,Sporting CP,?,in,Portugal;Mozambique;,NA,Serie A,1994,1994/1995
Brescia Calcio,Marco Ballotta,30,Goalkeeper,AC Parma,?,in,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Sergio Battistini,31,Defensive Midfield,Inter,?,in,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Antonio Bernardi,17,Forward,Ostiamare,?,in,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Davide Ratti,18,Forward,Carrarese,?,in,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Roberto Baronio,16,Defensive Midfield,Brescia U19,-,in,Italy;,0,Serie A,1994,1994/1995
Brescia Calcio,Nicola Pavarini,20,Goalkeeper,Brescia U19,-,in,Italy;,0,Serie A,1994,1994/1995
Brescia Calcio,Gheorghe Hagi,29,Attacking Midfield,FC Barcelona,£3.60m,out,Romania;Turkey;,3.6,Serie A,1994,1994/1995
Brescia Calcio,Gabriele Ambrosetti,21,Left Midfield,Vicenza,?,out,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Sergio Volpi,20,Central Midfield,Carrarese,Loan,out,Italy;,0,Serie A,1994,1994/1995
Brescia Calcio,Franco Lerda,26,Centre-Forward,SSC Napoli,?,out,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Luigi Corino,28,Defender,Cosenza,?,out,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Roberto Torchio,23,Midfielder,CPR Ospitaletto,?,out,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Marco Landucci,30,Goalkeeper,Avellino,?,out,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Nello Cusin,29,Goalkeeper,Pescara,?,out,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Andrea Borgogni,20,Midfielder,CPR Ospitaletto,?,out,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Danut Lupu,27,Attacking Midfield,Rapid Bucharest,?,out,Romania;,NA,Serie A,1994,1994/1995
Brescia Calcio,Stefano Ragnoli,19,Centre-Back,Cremapergo,?,out,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Sergio Domini,33,Midfielder,Lucchese,?,out,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Paolo Ziliani,23,Sweeper,Cosenza,?,out,Italy;,NA,Serie A,1994,1994/1995
Brescia Calcio,Paolo Bonfadini,22,Defender,Alzano Virescit,?,out,Italy;,NA,Serie A,1994,1994/1995
FC Internazionale,Gianluca Pagliuca,27,Goalkeeper,Sampdoria,?,in,Italy;,NA,Serie A,1994,1994/1995
FC Internazionale,Pierluigi Orlandini,21,Right Midfield,Atalanta,?,in,Italy;,NA,Serie A,1994,1994/1995
FC Internazionale,Giovanni Bia,25,Centre-Back,SSC Napoli,?,in,Italy;,NA,Serie A,1994,1994/1995
FC Internazionale,Luca Mondini,24,Goalkeeper,Como,?,in,Italy;,NA,Serie A,1994,1994/1995
FC Internazionale,Andrea Seno,28,Central Midfield,Foggia,?,in,Italy;,NA,Serie A,1994,1994/1995
FC Internazionale,Andrea Zanchetta,19,Central Midfield,Inter U19,-,in,Italy;,0,Serie A,1994,1994/1995
FC Internazionale,Marco Fortin,19,Goalkeeper,Inter U19,-,in,Italy;,0,Serie A,1994,1994/1995
FC Internazionale,Salvatore Schillaci,29,Centre-Forward,Júbilo Iwata,Free transfer,out,Italy;,NA,Serie A,1994,1994/1995
FC Internazionale,Paolo Orlandoni,21,Goalkeeper,Pro Sesto,Loan,out,Italy;,0,Serie A,1994,1994/1995
FC Internazionale,Beniamino Abate,32,Goalkeeper,Andria,?,out,Italy;,NA,Serie A,1994,1994/1995
FC Internazionale,Paolo Tramezzani,23,Left-Back,AC Venezia 1907,?,out,Italy;Albania;,NA,Serie A,1994,1994/1995
FC Internazionale,Massimo Marazzina,19,Centre-Forward,Foggia,?,out,Italy;,NA,Serie A,1994,1994/1995
FC Internazionale,Walter Zenga,34,Goalkeeper,Sampdoria,?,out,Italy;Romania;,NA,Serie A,1994,1994/1995
FC Internazionale,Riccardo Ferri,30,Centre-Back,Sampdoria,?,out,Italy;,NA,Serie A,1994,1994/1995
FC Internazionale,Alessandro Rossi,19,Defender,Unknown,?,out,Italy;,NA,Serie A,1994,1994/1995
FC Internazionale,Sergio Battistini,31,Defensive Midfield,Brescia,?,out,Italy;,NA,Serie A,1994,1994/1995
FC Internazionale,Antonio Manicone,27,Defensive Midfield,Genoa,Loan,out,Italy;,0,Serie A,1994,1994/1995
FC Internazionale,Marco Barollo,22,Midfielder,AC Venezia 1907,?,out,Italy;,NA,Serie A,1994,1994/1995
FC Internazionale,Igor Shalimov,25,Attacking Midfield,MSV Duisburg,?,out,Russia;,NA,Serie A,1994,1994/1995
AC Parma,Dino Baggio,22,Defensive Midfield,Juventus,£4.05m,in,Italy;,4.05,Serie A,1994,1994/1995
AC Parma,Fernando Couto,24,Centre-Back,FC Porto,£2.43m,in,Portugal;,2.43,Serie A,1994,1994/1995
AC Parma,Stefano Fiore,19,Attacking Midfield,Cosenza,£675k,in,Italy;,0.675,Serie A,1994,1994/1995
AC Parma,Tony Meola,25,Goalkeeper,Unknown,?,in,United States;Italy;,NA,Serie A,1994,1994/1995
AC Parma,Roberto Mussi,30,Right-Back,Torino,?,in,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Mario Massimo Caruso,24,Attacking Midfield,SSC Napoli,?,in,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Gianluca Hervatin,20,Forward,Ancona,?,in,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Marcello Castellini,21,Centre-Back,Perugia,?,in,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Marco Branca,29,Centre-Forward,Udinese,?,in,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Gianfranco Circati,23,Defender,Salernitana,?,in,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Giovanni Galli,36,Goalkeeper,Torino,?,in,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Massimo Susic,27,Centre-Back,AC Pisa,?,in,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Diego Pellegrini,23,Centre-Back,Vicenza,?,in,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Gianluigi Buffon,16,Goalkeeper,Parma U19,-,in,Italy;,0,Serie A,1994,1994/1995
AC Parma,Gianfranco Circati,23,Defender,Salernitana,?,out,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Mario Massimo Caruso,25,Attacking Midfield,Lucchese,Loan,out,Italy;,0,Serie A,1994,1994/1995
AC Parma,Roberto Colacone,20,Second Striker,Carrarese,?,out,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Daniele Zoratto,32,Central Midfield,Padova,?,out,Italy;Luxembourg;,NA,Serie A,1994,1994/1995
AC Parma,Davide Falcioni,19,Goalkeeper,AJ Fano,?,out,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Marco Branca,29,Centre-Forward,AS Roma,?,out,Italy;,NA,Serie A,1994,1994/1995
AC Parma,David Balleri,25,Right-Back,Padova,?,out,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Alessandro Melli,24,Centre-Forward,Sampdoria,?,out,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Marco Ferrari,27,Goalkeeper,Forlì,?,out,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Gianluca Hervatin,20,Forward,Calcio Monza,?,out,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Marco Ballotta,30,Goalkeeper,Brescia,?,out,Italy;,NA,Serie A,1994,1994/1995
AC Parma,Georges Grün,32,Centre-Back,RSC Anderlecht,?,out,Belgium;,NA,Serie A,1994,1994/1995
AC Parma,Salvatore Matrecano,23,Centre-Back,SSC Napoli,?,out,Italy;,NA,Serie A,1994,1994/1995
Genoa 1893,Daniele Delli Carri,22,Centre-Back,Torino,Free transfer,in,Italy;,NA,Serie A,1994,1994/1995
Genoa 1893,Nicola Caricola,31,Centre-Back,Torino,?,in,Italy;,NA,Serie A,1994,1994/1995
Genoa 1893,Michele Padovano,27,Centre-Forward,Reggiana,?,in,Italy;,NA,Serie A,1994,1994/1995
Genoa 1893,Pier Giovanni Rutzittu,18,Midfielder,Olbia,?,in,Italy;,NA,Serie A,1994,1994/1995
Genoa 1893,Dario Marcolin,22,Defensive Midfield,Cagliari Calcio,?,in,Italy;,NA,Serie A,1994,1994/1995
Genoa 1893,Kazuyoshi Miura,27,Centre-Forward,Verdy Kawasaki,?,in,Japan;,NA,Serie A,1994,1994/1995
Genoa 1893,Antonio Manicone,27,Defensive Midfield,Inter,Loan,in,Italy;,0,Serie A,1994,1994/1995
Genoa 1893,Davide Micillo,23,Goalkeeper,Ravenna,?,in,Italy;,NA,Serie A,1994,1994/1995
Genoa 1893,Giovanni Francini,30,Left-Back,SSC Napoli,?,in,Italy;,NA,Serie A,1994,1994/1995
Genoa 1893,Gianluca Francesconi,22,Centre-Back,Juventus,?,in,Italy;,NA,Serie A,1994,1994/1995
Genoa 1893,Gianluca Berti,27,Goalkeeper,Ancona,Free transfer,out,Italy;,NA,Serie A,1994,1994/1995
Genoa 1893,Davide Nicola,21,Right-Back,Ancona,Loan,out,Italy;,0,Serie A,1994,1994/1995
Genoa 1893,Marciano Vink,23,Defensive Midfield,PSV Eindhoven,?,out,Netherlands;Suriname;,NA,Serie A,1994,1994/1995
