club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Arsenal FC,Patrick Vieira,20,Defensive Midfield,Milan,£4.82m,in,France;Senegal;,4.82,Premier League,1996,1996/1997
Arsenal FC,Nicolas Anelka,17,Centre-Forward,Paris SG,£684k,in,France;Martinique;,0.684,Premier League,1996,1996/1997
Arsenal FC,John Lukic,35,Goalkeeper,Leeds,Free transfer,in,England;,NA,Premier League,1996,1996/1997
Arsenal FC,Rémi Garde,30,Defensive Midfield,R. Strasbourg,?,in,France;,NA,Premier League,1996,1996/1997
Arsenal FC,Gavin McGowan,21,Defender,Luton,"End of loanApr 1, 1997",in,England;,0,Premier League,1996,1996/1997
Arsenal FC,Jason Crowe,17,Right-Back,Arsenal U18,-,in,England;,0,Premier League,1996,1996/1997
Arsenal FC,Adrian Clarke,22,Midfielder,Rotherham,"End of loanDec 1, 1996",in,England;,0,Premier League,1996,1996/1997
Arsenal FC,Paul Merson,28,Right Midfield,Middlesbrough,£5.94m,out,England;,5.94,Premier League,1996,1996/1997
Arsenal FC,John Hartson,21,Centre-Forward,West Ham,£4.50m,out,Wales;,4.5,Premier League,1996,1996/1997
Arsenal FC,Paul Dickov,23,Centre-Forward,Man City,£1.35m,out,Scotland;,1.35,Premier League,1996,1996/1997
Arsenal FC,Steve Morrow,26,Right-Back,QPR,£675k,out,Northern Ireland;,0.675,Premier League,1996,1996/1997
Arsenal FC,Eddie McGoldrick,31,Central Midfield,Man City,£405k,out,Ireland;England;,0.405,Premier League,1996,1996/1997
Arsenal FC,David Hillier,26,Central Midfield,Portsmouth,£288k,out,England;,0.288,Premier League,1996,1996/1997
Arsenal FC,Andy Linighan,34,Centre-Back,Crystal Palace,£113k,out,England;,0.113,Premier League,1996,1996/1997
Arsenal FC,Gavin McGowan,21,Defender,Luton,Loan,out,England;,0,Premier League,1996,1996/1997
Arsenal FC,John Jensen,31,Central Midfield,Bröndby IF,Free transfer,out,Denmark;,NA,Premier League,1996,1996/1997
Arsenal FC,Ben Smith,17,Attacking Midfield,Reading,Free transfer,out,England;,NA,Premier League,1996,1996/1997
Arsenal FC,Roy O'Brien,21,Midfielder,Wigan,?,out,Ireland;,NA,Premier League,1996,1996/1997
Arsenal FC,Glenn Helder,28,Left Winger,Benfica,Loan,out,Netherlands;,0,Premier League,1996,1996/1997
Arsenal FC,Adrian Clarke,22,Midfielder,Southend United,Loan,out,England;,0,Premier League,1996,1996/1997
Arsenal FC,Adrian Clarke,21,Midfielder,Rotherham,Loan,out,England;,0,Premier League,1996,1996/1997
Arsenal FC,Chris Kiwomya,26,Centre-Forward,AC Le Havre,Loan,out,England;Uganda;,0,Premier League,1996,1996/1997
Arsenal FC,Mark Flatts,23,Midfielder,Retired,-,out,England;,0,Premier League,1996,1996/1997
Chelsea FC,Gianfranco Zola,30,Second Striker,AC Parma,£5.58m,in,Italy;,5.58,Premier League,1996,1996/1997
Chelsea FC,Roberto Di Matteo,26,Central Midfield,Lazio,£4.95m,in,Italy;,4.95,Premier League,1996,1996/1997
Chelsea FC,Frank Leboeuf,28,Centre-Back,R. Strasbourg,£3.11m,in,France;,3.11,Premier League,1996,1996/1997
Chelsea FC,Danny Granville,22,Left-Back,Cambridge Utd.,£374k,in,England;,0.374,Premier League,1996,1996/1997
Chelsea FC,Gianluca Vialli,31,Centre-Forward,Juventus,Free transfer,in,Italy;,NA,Premier League,1996,1996/1997
Chelsea FC,Craig Forrest,29,Goalkeeper,Ipswich,Loan,in,Canada;,0,Premier League,1996,1996/1997
Chelsea FC,Joe Sheerin,18,Forward,Unknown,?,in,England;,NA,Premier League,1996,1996/1997
Chelsea FC,Paul Parker,32,Right-Back,Fulham,?,in,England;,NA,Premier League,1996,1996/1997
Chelsea FC,Roger Joseph,30,Defender,Wimbledon FC,?,in,England;,NA,Premier League,1996,1996/1997
Chelsea FC,Frode Grodas,31,Goalkeeper,Lillestrøm SK,?,in,Norway;,NA,Premier League,1996,1996/1997
Chelsea FC,Chris Zoricich,27,Defender,Welling,?,in,New Zealand;,NA,Premier League,1996,1996/1997
Chelsea FC,Gavin Peacock,29,Midfielder,QPR,End of loan-,in,England;,0,Premier League,1996,1996/1997
Chelsea FC,David Rocastle,29,Attacking Midfield,Norwich,"End of loanMar 1, 1997",in,England;,0,Premier League,1996,1996/1997
Chelsea FC,Mark Stein,30,Centre-Forward,Stoke City,"End of loanJan 22, 1997",in,England;,0,Premier League,1996,1996/1997
Chelsea FC,Neil Clement,17,Centre-Back,Chelsea U18,-,in,England;,0,Premier League,1996,1996/1997
Chelsea FC,Paul Furlong,27,Centre-Forward,Birmingham,£2.03m,out,England;Montserrat;,2.03,Premier League,1996,1996/1997
Chelsea FC,Muzzy Izzet,21,Right Midfield,Leicester,£1.08m,out,Turkey;England;,1.08,Premier League,1996,1996/1997
Chelsea FC,Anthony Barness,23,Right-Back,Charlton,£180k,out,England;,0.18,Premier League,1996,1996/1997
Chelsea FC,John Spencer,26,Centre-Forward,QPR,Free transfer,out,Scotland;,NA,Premier League,1996,1996/1997
Chelsea FC,Nigel Spackman,35,Central Midfield,Sheffield Utd.,Free transfer,out,England;,NA,Premier League,1996,1996/1997
Chelsea FC,David Rocastle,29,Attacking Midfield,Norwich,Loan,out,England;,0,Premier League,1996,1996/1997
Chelsea FC,Andy Dow,23,Defender,Hibernian FC,?,out,Scotland;,NA,Premier League,1996,1996/1997
Chelsea FC,Terry Phelan,29,Left-Back,Everton,?,out,Ireland;,NA,Premier League,1996,1996/1997
Chelsea FC,Mark Stein,30,Centre-Forward,Stoke City,Loan,out,England;,0,Premier League,1996,1996/1997
