club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
NAC Breda,Csaba Fehér,24,Defensive Midfield,KFC Verbr. Geel,£405k,in,Hungary;,0.405,Eredivisie,2000,2000/2001
NAC Breda,Orlando Engelaar,20,Defensive Midfield,Feyenoord U21,Free transfer,in,Netherlands;Suriname;,NA,Eredivisie,2000,2000/2001
NAC Breda,Christian Opschoor,19,Right Winger,Kozakken Boys,Free transfer,in,Netherlands;,NA,Eredivisie,2000,2000/2001
NAC Breda,Bryan Roy,30,Right Winger,Hertha BSC,Free transfer,in,Netherlands;Suriname;,NA,Eredivisie,2000,2000/2001
NAC Breda,Mark Schenning,30,Centre-Back,FC Den Bosch,?,in,Netherlands;,NA,Eredivisie,2000,2000/2001
NAC Breda,Niels Kerkhof,20,Defender,PSV U21,?,in,Netherlands;,NA,Eredivisie,2000,2000/2001
NAC Breda,Gábor Babos,25,Goalkeeper,MTK Hungária,?,in,Hungary;,NA,Eredivisie,2000,2000/2001
NAC Breda,Arno Doomernik,29,Defensive Midfield,Roda JC,?,in,Netherlands;,NA,Eredivisie,2000,2000/2001
NAC Breda,Karim Sedouki,21,Midfielder,Unknown,?,in,Netherlands;,NA,Eredivisie,2000,2000/2001
NAC Breda,Jerome Riverola,21,Midfielder,Unknown,?,in,Netherlands;,NA,Eredivisie,2000,2000/2001
NAC Breda,Robbie Haemhouts,17,Central Midfield,NAC Breda U19,-,in,Belgium;,0,Eredivisie,2000,2000/2001
NAC Breda,Archil Arveladze,27,Centre-Forward,1. FC Köln,Free transfer,out,Georgia;,NA,Eredivisie,2000,2000/2001
NAC Breda,Dennis van der Ree,21,Right-Back,FC Utrecht,"End of loanJul 1, 2000",out,Netherlands;,0,Eredivisie,2000,2000/2001
NAC Breda,Jan Willem van Ede,37,Goalkeeper,FC Twente,?,out,Netherlands;,NA,Eredivisie,2000,2000/2001
NAC Breda,Peter Thomson,23,Forward,Luton,?,out,England;,NA,Eredivisie,2000,2000/2001
NAC Breda,Michael Hansen,29,Midfielder,Esbjerg fB,?,out,Denmark;,NA,Eredivisie,2000,2000/2001
NAC Breda,Danny D'Hondt,36,Goalkeeper,Without Club,-,out,Belgium;,0,Eredivisie,2000,2000/2001
NAC Breda,Remco Frijters,22,Defender,NAC Breda U21,-,out,Netherlands;,0,Eredivisie,2000,2000/2001
NAC Breda,Jan Gaasbeek,37,Midfielder,Retired,-,out,Netherlands;,0,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Giannis Anastasiou,27,Centre-Forward,RSC Anderlecht,£900k,in,Greece;Belgium;,0.9,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Sven Vandenbroeck,20,Defensive Midfield,KV Mechelen,£675k,in,Belgium;,0.675,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Ivan Vicelich,24,Defensive Midfield,Football Kingz,Free transfer,in,New Zealand;Croatia;,NA,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Edrissa Sonko,20,Right Winger,RSC Anderlecht,?,in,The Gambia;Netherlands;,NA,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Bas Roorda,27,Goalkeeper,NEC Nijmegen,?,in,Netherlands;,NA,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Samir Ouindi,20,Forward,Roda JC U21,-,in,Germany;,0,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Fatih Sonkaya,18,Right-Back,VVV-Venlo,"End of loanJun 30, 2000",in,Turkey;Netherlands;,0,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Bob Peeters,26,Centre-Forward,Vitesse,£5.67m,out,Belgium;,5.67,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Joos Valgaeren,24,Centre-Back,Celtic,£5.13m,out,Belgium;,5.13,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Peter Van Houdt,23,Centre-Forward,Bor. M'gladbach,£450k,out,Belgium;,0.45,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Müslüm Karabulut,18,Centre-Forward,Kocaelispor,£180k,out,Turkey;,0.18,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Bas Jacobs,20,Left Winger,VVV-Venlo,Free transfer,out,Netherlands;,NA,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Gregory Delwarte,22,Goalkeeper,Maasl Maasmechel,Free transfer,out,Belgium;,NA,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Stephan 't Hart,29,Defender,VVV-Venlo,?,out,Netherlands;,NA,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Arno Doomernik,29,Defensive Midfield,NAC Breda,?,out,Netherlands;,NA,Eredivisie,2000,2000/2001
Roda JC Kerkrade,Humphrey Rudge,23,Centre-Back,Sparta R.,Loan,out,Netherlands;Suriname;,0,Eredivisie,2000,2000/2001
FC Utrecht,Stefaan Tanghe,28,Attacking Midfield,Exc. Mouscron,£900k,in,Belgium;,0.9,Eredivisie,2000,2000/2001
FC Utrecht,Tibor Dombi,26,Right Midfield,E. Frankfurt,Free transfer,in,Hungary;,NA,Eredivisie,2000,2000/2001
FC Utrecht,Igor Gluscevic,26,Centre-Forward,Aris Saloniki,Free transfer,in,Montenegro;,NA,Eredivisie,2000,2000/2001
FC Utrecht,Dennis van der Ree,21,Right-Back,NAC Breda,"End of loanJul 1, 2000",in,Netherlands;,0,Eredivisie,2000,2000/2001
FC Utrecht,Dave van den Bergh,24,Left Midfield,Rayo Vallecano,Free transfer,in,Netherlands;,NA,Eredivisie,2000,2000/2001
