club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Atalanta BC,Marten de Roon,26,Central Midfield,Middlesbrough,£12.15m,in,Netherlands;,12.15,Serie A,2017,2017/2018
Atalanta BC,Timothy Castagne,21,Right-Back,KRC Genk,£5.85m,in,Belgium;,5.85,Serie A,2017,2017/2018
Atalanta BC,Fabio Eguelfi,22,Left-Back,Inter,£5.40m,in,Italy;,5.4,Serie A,2017,2017/2018
Atalanta BC,Josip Ilicic,29,Second Striker,Fiorentina,£5.18m,in,Slovenia;Croatia;,5.18,Serie A,2017,2017/2018
Atalanta BC,Federico Mattiello,22,Right-Back,Juventus,£4.50m,in,Italy;,4.5,Serie A,2017,2017/2018
Atalanta BC,Etrit Berisha,28,Goalkeeper,Lazio,£4.50m,in,Albania;Sweden;,4.5,Serie A,2017,2017/2018
Atalanta BC,Andreas Cornelius,24,Centre-Forward,FC Copenhagen,£4.46m,in,Denmark;,4.46,Serie A,2017,2017/2018
Atalanta BC,José Luis Palomino,27,Centre-Back,Ludogorets,£4.05m,in,Argentina;,4.05,Serie A,2017,2017/2018
Atalanta BC,Matteo Pessina,20,Central Midfield,AC Milan,£1.49m,in,Italy;,1.49,Serie A,2017,2017/2018
Atalanta BC,Luca Vido,20,Centre-Forward,AC Milan,£1.22m,in,Italy;,1.22,Serie A,2017,2017/2018
Atalanta BC,Robin Gosens,22,Left-Back,Heracles Almelo,£810k,in,Germany;Netherlands;,0.81,Serie A,2017,2017/2018
Atalanta BC,João Schmidt,24,Defensive Midfield,São Paulo,Free transfer,in,Brazil;,NA,Serie A,2017,2017/2018
Atalanta BC,Nicolas Haas,21,Central Midfield,FC Luzern,Free transfer,in,Switzerland;,NA,Serie A,2017,2017/2018
Atalanta BC,Luca Rizzo,25,Central Midfield,Bologna,Loan,in,Italy;,0,Serie A,2017,2017/2018
Atalanta BC,Riccardo Orsolini,20,Right Winger,Juventus,Loan,in,Italy;,0,Serie A,2017,2017/2018
Atalanta BC,Alessandro Bastoni,18,Centre-Back,Inter,Loan,in,Italy;,0,Serie A,2017,2017/2018
Atalanta BC,Filippo Melegoni,18,Central Midfield,Atalanta U19,-,in,Italy;,0,Serie A,2017,2017/2018
Atalanta BC,Musa Barrow,19,Centre-Forward,Atalanta U19,-,in,The Gambia;,0,Serie A,2017,2017/2018
Atalanta BC,Alessandro Bastoni,18,Centre-Back,Inter,£27.99m,out,Italy;,27.99,Serie A,2017,2017/2018
Atalanta BC,Andrea Conti,23,Right-Back,AC Milan,£21.60m,out,Italy;,21.6,Serie A,2017,2017/2018
Atalanta BC,Roberto Gagliardini,23,Central Midfield,Inter,£18.45m,out,Italy;,18.45,Serie A,2017,2017/2018
