club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Cardiff City,Kevin Ratcliffe,32,Centre-Back,Dundee FC,?,in,Wales;,NA,Championship,1992,1992/1993
Cardiff City,Robbie James,35,Midfielder,Bradford,?,in,Wales;,NA,Championship,1992,1992/1993
Cardiff City,Pat Heard,32,Left-Back,Hull City,?,out,England;,NA,Championship,1992,1992/1993
Cardiff City,Ken DeMange,27,Central Midfield,Limerick FC,?,out,Ireland;,NA,Championship,1992,1992/1993
Cardiff City,Roger Hansbury,37,Goalkeeper,Retired,-,out,England;,0,Championship,1992,1992/1993
Fulham FC,Lee Harrison,21,Goalkeeper,Charlton,Free transfer,in,England;,NA,Championship,1992,1992/1993
Fulham FC,Ara Bedrossian,25,Defensive Midfield,APOEL Nicosia,?,in,Cyprus;,NA,Championship,1992,1992/1993
Fulham FC,Peter Baah,19,Right Winger,Blackburn,?,in,England;,NA,Championship,1992,1992/1993
Fulham FC,Steve Archibald,36,Centre-Forward,Clyde FC,?,in,Scotland;,NA,Championship,1992,1992/1993
Fulham FC,Peter Scott,29,Defensive Midfield,Bournemouth,?,out,England;,NA,Championship,1992,1992/1993
Fulham FC,Keith Branagan,25,Goalkeeper,Millwall,"End of loanJun 30, 1992",out,Ireland;,0,Championship,1992,1992/1993
Huddersfield Town,Gerry Harrison,20,Midfielder,Bristol City,?,in,England;,NA,Championship,1992,1992/1993
Huddersfield Town,Phil Robinson,25,Midfielder,Notts County,?,in,England;,NA,Championship,1992,1992/1993
Huddersfield Town,Andy Booth,18,Centre-Forward,Huddersf. U18,-,in,England;,0,Championship,1992,1992/1993
Huddersfield Town,Simon Ireland,20,Midfielder,Blackburn,£227k,out,England;,0.227,Championship,1992,1992/1993
Huddersfield Town,Kevin Donovan,20,Central Midfield,West Brom,£81k,out,England;,0.081,Championship,1992,1992/1993
Huddersfield Town,Dave Campbell,22,Defender,Shamrock Rovers,?,out,Ireland;,NA,Championship,1992,1992/1993
Leeds United,David Rocastle,25,Attacking Midfield,Arsenal,£2.16m,in,England;,2.16,Championship,1992,1992/1993
Leeds United,David Kerslake,26,Right-Back,Swindon Town,£563k,in,England;,0.563,Championship,1992,1992/1993
Leeds United,Frank Strandli,20,Centre-Forward,Start,£315k,in,Norway;,0.315,Championship,1992,1992/1993
Leeds United,Kevin Sharp,18,Left-Back,AJ Auxerre,£81k,in,Canada;England;,0.081,Championship,1992,1992/1993
Leeds United,Imre Varadi,33,Centre-Forward,Oxford United,"End of loanMar 1, 1993",in,England;Hungary;,0,Championship,1992,1992/1993
Leeds United,Scott Sellars,26,Left Midfield,Blackburn,?,in,England;,NA,Championship,1992,1992/1993
Leeds United,Jamie Forrester,18,Left Winger,AJ Auxerre B,?,in,England;,NA,Championship,1992,1992/1993
Leeds United,Mark Beeney,25,Goalkeeper,Brighton,?,in,England;,NA,Championship,1992,1992/1993
Leeds United,Paul Pettinger,17,Goalkeeper,Leeds U18,-,in,England;,0,Championship,1992,1992/1993
Leeds United,Mark Tinkler,17,Defender,Leeds U18,-,in,England;,0,Championship,1992,1992/1993
Leeds United,Mervyn Day,37,Goalkeeper,Sheffield Utd.,"End of loanJun 30, 1992",in,England;,0,Championship,1992,1992/1993
Leeds United,Glynn Snodin,32,Left-Back,Rotherham,"End of loanJun 30, 1992",in,England;,0,Championship,1992,1992/1993
Leeds United,Eric Cantona,26,Second Striker,Man Utd,£1.62m,out,France;,1.62,Championship,1992,1992/1993
Leeds United,Bobby Davison,33,Forward,Leicester,£59k,out,England;,0.059,Championship,1992,1992/1993
Leeds United,Imre Varadi,33,Centre-Forward,Rotherham,Free transfer,out,England;Hungary;,NA,Championship,1992,1992/1993
Leeds United,Glynn Snodin,32,Left-Back,Heart of Midl.,Free transfer,out,England;,NA,Championship,1992,1992/1993
Leeds United,Andy Williams,29,Midfielder,Notts County,?,out,England;,NA,Championship,1992,1992/1993
Leeds United,John McClelland,36,Centre-Back,St. Johnstone,?,out,Northern Ireland;,NA,Championship,1992,1992/1993
Leeds United,Imre Varadi,33,Centre-Forward,Oxford United,Loan,out,England;Hungary;,0,Championship,1992,1992/1993
Leeds United,Frank Strandli,20,Centre-Forward,Start,Loan,out,Norway;,0,Championship,1992,1992/1993
West Bromwich Albion,Ian Hamilton,24,Central Midfield,Scunthorpe Utd.,£158k,in,England;,0.158,Championship,1992,1992/1993
West Bromwich Albion,Andy Hunt,23,Forward,Newcastle,£113k,in,England;,0.113,Championship,1992,1992/1993
West Bromwich Albion,Kevin Donovan,20,Central Midfield,Huddersfield,£81k,in,England;,0.081,Championship,1992,1992/1993
West Bromwich Albion,Micky Mellon,20,Midfielder,Bristol City,£78k,in,Scotland;,0.078,Championship,1992,1992/1993
West Bromwich Albion,Andy Hunt,22,Forward,Newcastle,Loan,in,England;,0,Championship,1992,1992/1993
West Bromwich Albion,Simon Garner,32,Centre-Forward,Blackburn,£32k,in,England;,0.032,Championship,1992,1992/1993
West Bromwich Albion,Nicky Reid,32,Centre-Back,Blackburn,?,in,England;,NA,Championship,1992,1992/1993
West Bromwich Albion,David Speedie,32,Centre-Forward,Southampton,Loan,in,Scotland;,0,Championship,1992,1992/1993
West Bromwich Albion,Paul Williams,29,Forward,Coventry,"End of loanNov 23, 1992",in,Northern Ireland;,0,Championship,1992,1992/1993
West Bromwich Albion,Jonathan Gould,23,Goalkeeper,Coventry,Free transfer,out,Scotland;,NA,Championship,1992,1992/1993
West Bromwich Albion,Gary Bannister,32,Centre-Forward,Nottm Forest,Free transfer,out,England;,NA,Championship,1992,1992/1993
West Bromwich Albion,Winston White,33,Right Midfield,Bury,Free transfer,out,England;,NA,Championship,1992,1992/1993
West Bromwich Albion,Paul Williams,29,Forward,Stockport,£29k,out,Northern Ireland;,0.029,Championship,1992,1992/1993
West Bromwich Albion,Colin West,29,Centre-Forward,Swansea,?,out,England;,NA,Championship,1992,1992/1993
West Bromwich Albion,Steve Parkin,26,Right-Back,Mansfield Town,?,out,England;,NA,Championship,1992,1992/1993
West Bromwich Albion,Paul Williams,29,Forward,Coventry,Loan,out,Northern Ireland;,0,Championship,1992,1992/1993
West Bromwich Albion,Andy Hunt,22,Forward,Newcastle,"End of loanMay 31, 1993",out,England;,0,Championship,1992,1992/1993
West Bromwich Albion,David Speedie,33,Centre-Forward,Southampton,"End of loanMar 1, 1993",out,Scotland;,0,Championship,1992,1992/1993
West Bromwich Albion,Frank Sinclair,20,Centre-Back,Chelsea,"End of loanJun 30, 1992",out,Jamaica;England;,0,Championship,1992,1992/1993
Derby County,Craig Short,24,Centre-Back,Notts County,£3.38m,in,England;,3.38,Championship,1992,1992/1993
Derby County,Mark Pembridge,21,Left Midfield,Luton,£1.57m,in,Wales;,1.57,Championship,1992,1992/1993
Derby County,Martin Kuhl,27,Midfielder,Portsmouth,£674k,in,England;,0.674,Championship,1992,1992/1993
Derby County,Colin Loss,18,Right Midfield,Norwich,?,in,England;,NA,Championship,1992,1992/1993
Derby County,Richard Goulooze,24,Right-Back,Heerenveen,?,in,Netherlands;,NA,Championship,1992,1992/1993
Derby County,Shane Nicholson,22,Left-Back,Lincoln City,?,in,England;,NA,Championship,1992,1992/1993
Derby County,Lee Carsley,18,Defensive Midfield,Derby U18,-,in,Ireland;,0,Championship,1992,1992/1993
Derby County,Geraint Williams,30,Defensive Midfield,Ipswich,£675k,out,Wales;,0.675,Championship,1992,1992/1993
Derby County,Jonathan Davidson,22,Defender,Preston NE,?,out,England;,NA,Championship,1992,1992/1993
Derby County,Mel Sage,28,Centre-Back,Retired,-,out,England;,0,Championship,1992,1992/1993
Middlesbrough FC,Derek Whyte,24,Centre-Back,Rangers,£1.13m,in,Scotland;,1.13,Championship,1992,1992/1993
Middlesbrough FC,Tommy Wright,26,Left Winger,Leicester,£819k,in,Scotland;,0.819,Championship,1992,1992/1993
Middlesbrough FC,Craig Hignett,22,Right Winger,Crewe Alexandra,£675k,in,England;,0.675,Championship,1992,1992/1993
Middlesbrough FC,Jonathan Gittens,28,Defender,Southampton,£225k,in,England;,0.225,Championship,1992,1992/1993
Middlesbrough FC,Dwight Marshall,27,Forward,Plymouth,Loan,in,England;Jamaica;,0,Championship,1992,1992/1993
Middlesbrough FC,Chris Kamara,35,Defensive Midfield,Luton,Loan,in,England;,0,Championship,1992,1992/1993
Middlesbrough FC,Richard Liburd,19,Defender,Eastwood Town,£21k,in,England;,0.021,Championship,1992,1992/1993
Middlesbrough FC,Chris Morris,28,Right-Back,Celtic,?,in,Ireland;,NA,Championship,1992,1992/1993
Middlesbrough FC,Andy Todd,17,Centre-Back,Boro U18,-,in,England;,0,Championship,1992,1992/1993
Middlesbrough FC,Ben Roberts,17,Goalkeeper,Boro U18,-,in,England;,0,Championship,1992,1992/1993
Middlesbrough FC,Stuart Ripley,24,Midfielder,Blackburn,£1.80m,out,England;,1.8,Championship,1992,1992/1993
Middlesbrough FC,Mark Proctor,32,Midfielder,Tranmere Rovers,Free transfer,out,England;,NA,Championship,1992,1992/1993
Middlesbrough FC,Gary Parkinson,24,Right-Back,Southend United,Loan,out,England;,0,Championship,1992,1992/1993
Middlesbrough FC,Andy Payton,24,Forward,Celtic,?,out,England;,NA,Championship,1992,1992/1993
Middlesbrough FC,Bernie Slaven,31,Centre-Forward,Port Vale,?,out,Ireland;Scotland;,NA,Championship,1992,1992/1993
Middlesbrough FC,Dwight Marshall,27,Forward,Plymouth,"End of loanMay 31, 1993",out,England;Jamaica;,0,Championship,1992,1992/1993
Middlesbrough FC,Brian Marwood,32,Attacking Midfield,Sheffield Utd.,"End of loanJun 30, 1992",out,England;,0,Championship,1992,1992/1993
Bristol City,Brian Tinnion,24,Midfielder,Bradford,£243k,in,England;,0.243,Championship,1992,1992/1993
Bristol City,Glenn Pennyfather,30,Defender,Ipswich,£90k,in,England;,0.09,Championship,1992,1992/1993
Bristol City,Bjørn Kristensen,28,Defender,Newcastle,Loan,in,Denmark;,0,Championship,1992,1992/1993
Bristol City,David Thompson,23,Centre-Back,Millwall,?,in,England;,NA,Championship,1992,1992/1993
Bristol City,Glenn Pennyfather,29,Defender,Ipswich,Loan,in,England;,0,Championship,1992,1992/1993
Bristol City,Brian Mitchell,28,Right-Back,Bradford,?,in,Scotland;,NA,Championship,1992,1992/1993
Bristol City,Nicky Reid,31,Centre-Back,Blackburn,Loan,in,England;,0,Championship,1992,1992/1993
Bristol City,Stuart Munro,29,Left-Back,Blackburn,?,in,Scotland;,NA,Championship,1992,1992/1993
Bristol City,Leroy Rosenior,27,Forward,Charlton,?,in,England;Sierra Leone;,NA,Championship,1992,1992/1993
Bristol City,Jason Fowler,18,Midfielder,Bristol City U18,-,in,England;,0,Championship,1992,1992/1993
Bristol City,Jim McIntyre,20,Left Winger,Exeter City,"End of loanMay 1, 1993",in,Scotland;,0,Championship,1992,1992/1993
Bristol City,Micky Mellon,20,Midfielder,West Brom,£78k,out,Scotland;,0.078,Championship,1992,1992/1993
Bristol City,Andy May,28,Midfielder,Millwall,?,out,England;,NA,Championship,1992,1992/1993
Bristol City,Jim McIntyre,20,Left Winger,Exeter City,Loan,out,Scotland;,0,Championship,1992,1992/1993
Bristol City,Gerry Harrison,20,Midfielder,Huddersfield,?,out,England;,NA,Championship,1992,1992/1993
Bristol City,Bjørn Kristensen,29,Defender,Newcastle,"End of loanDec 31, 1992",out,Denmark;,0,Championship,1992,1992/1993
Bristol City,Glenn Pennyfather,30,Defender,Ipswich,"End of loanMar 1, 1993",out,England;,0,Championship,1992,1992/1993
Bristol City,Nicky Reid,32,Centre-Back,Blackburn,"End of loanNov 1, 1992",out,England;,0,Championship,1992,1992/1993
Nottingham Forest,Neil Webb,28,Right Midfield,Man Utd,£833k,in,England;,0.833,Championship,1992,1992/1993
Nottingham Forest,Robert Rosario,26,Forward,Coventry,£437k,in,England;,0.437,Championship,1992,1992/1993
Nottingham Forest,Gary Bannister,32,Centre-Forward,West Brom,Free transfer,in,England;,NA,Championship,1992,1992/1993
Nottingham Forest,Stephen Blatherwick,18,Centre-Back,Notts County,?,in,England;,NA,Championship,1992,1992/1993
