club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Bayern Munich,Corentin Tolisso,22,Central Midfield,Olympique Lyon,£37.35m,in,France;Togo;,37.35,1 Bundesliga,2017,2017/2018
Bayern Munich,Kingsley Coman,21,Left Winger,Juventus,£18.90m,in,France;Guadeloupe;,18.9,1 Bundesliga,2017,2017/2018
Bayern Munich,Niklas Süle,21,Centre-Back,TSG Hoffenheim,£18.00m,in,Germany;,18,1 Bundesliga,2017,2017/2018
Bayern Munich,Sandro Wagner,30,Centre-Forward,TSG Hoffenheim,£11.70m,in,Germany;,11.7,1 Bundesliga,2017,2017/2018
Bayern Munich,James Rodríguez,26,Attacking Midfield,Real Madrid,Loan fee:£11.70m,in,Colombia;Spain;,11.7,1 Bundesliga,2017,2017/2018
Bayern Munich,Serge Gnabry,21,Right Winger,Werder Bremen,£7.20m,in,Germany;Cote d'Ivoire;,7.2,1 Bundesliga,2017,2017/2018
Bayern Munich,Sebastian Rudy,27,Defensive Midfield,TSG Hoffenheim,Free transfer,in,Germany;,NA,1 Bundesliga,2017,2017/2018
Bayern Munich,Marco Friedl,19,Centre-Back,FC Bayern U19,-,in,Austria;,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Felix Götze,19,Defensive Midfield,FC Bayern U19,-,in,Germany;,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Christian Früchtl,17,Goalkeeper,FC Bayern U19,-,in,Germany;,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Tom Starke,36,Goalkeeper,Career break,-,in,Germany;,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Holger Badstuber,28,Centre-Back,FC Schalke 04,"End of loanJun 30, 2017",in,Germany;,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Medhi Benatia,30,Centre-Back,Juventus,"End of loanJun 30, 2017",in,Morocco;France;,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Gianluca Gaudino,20,Central Midfield,FC St. Gallen,"End of loanJun 30, 2017",in,Germany;,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Medhi Benatia,30,Centre-Back,Juventus,£15.03m,out,Morocco;France;,15.03,1 Bundesliga,2017,2017/2018
