club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
FC Girondins Bordeaux,Patrick Blondeau,29,Right-Back,Sheff Wed,£1.62m,in,France;,1.62,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Romain Ferrier,21,Left-Back,Cannes,Free transfer,in,France;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Niša Saveljić,27,Centre-Back,Partizan,Free transfer,in,Montenegro;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,David Jemmali,22,Right-Back,Cannes,Free transfer,in,Tunisia;France;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Ricardinho,21,Attacking Midfield,Paraná,Free transfer,in,Brazil;Italy;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Sylvain Wiltord,23,Second Striker,Stade Rennais,Free transfer,in,France;Guadeloupe;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Lassina Diabaté,22,Defensive Midfield,Sp. Perpignan R,?,in,Cote d'Ivoire;France;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Stanley Menzo,33,Goalkeeper,Lierse SK,Loan,in,Netherlands;Suriname;,0,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Marc Delaroche,26,Goalkeeper,SM Caen,?,in,France;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Lilian Laslandes,25,Centre-Forward,AJ Auxerre,?,in,France;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Kiki Musampa,19,Left Winger,Ajax,?,in,Netherlands;DR Congo;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Louis Gomis,25,Left-Back,OGC Nice,?,in,France;Senegal;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Ulrich Ramé,24,Goalkeeper,SCO Angers,?,in,France;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Steeve Epesse-Titi,17,Defender,Unknown,?,in,France;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Nicolas Ardouin,19,Goalkeeper,G. Bordeaux B,-,in,France;,0,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,William Prunier,29,Centre-Back,FC Copenhagen,"End of loanJun 30, 1997",in,France;,0,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Ibrahim Bá,23,Right Midfield,Milan,£10.80m,out,France;Senegal;,10.8,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Cyril Domoraud,25,Centre-Back,Marseille,£2.25m,out,Cote d'Ivoire;France;,2.25,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Geoffray Toyes,24,Right-Back,FC Metz,Free transfer,out,France;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Gilbert Bodart,34,Goalkeeper,Standard Liège,Free transfer,out,Belgium;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Kaba Diawara,22,Centre-Forward,Stade Rennais,Loan,out,Guinea;France;,0,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Didier Tholot,33,Centre-Forward,FC Sion,?,out,France;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Franck Histilloles,24,Midfielder,FC Metz,?,out,France;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Claudio Biaggio,29,Centre-Forward,San Lorenzo,?,out,Argentina;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Patrick Colleter,31,Left-Back,Marseille,?,out,France;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Stéphane Ziani,25,Attacking Midfield,Lens,?,out,France;Algeria;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Sylvain N'Diaye,21,Defensive Midfield,FC Martigues,Loan,out,Senegal;France;,0,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Anthony Bancarel,26,Centre-Forward,Guingamp,?,out,France;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Bernard Lambourde,25,Centre-Back,Chelsea,?,out,France;Guadeloupe;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Miklós Lendvai,22,Defensive Midfield,FC Lugano,?,out,Hungary;,NA,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Stanley Menzo,34,Goalkeeper,Lierse SK,"End of loanDec 31, 1997",out,Netherlands;Suriname;,0,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Laurent Croci,32,Defensive Midfield,G. Bordeaux B,-,out,France;,0,Ligue 1,1997,1997/1998
FC Girondins Bordeaux,Franck Fontan,23,Goalkeeper,Career break,-,out,France;,0,Ligue 1,1997,1997/1998
AS Monaco,Ludovic Giuly,21,Right Winger,Olympique Lyon,£6.75m,in,France;,6.75,Ligue 1,1997,1997/1998
AS Monaco,Robert Spehar,27,Centre-Forward,Club Brugge,£4.46m,in,Croatia;,4.46,Ligue 1,1997,1997/1998
AS Monaco,Fabien Lefèvre,25,Left Midfield,Montpellier,Free transfer,in,France;,NA,Ligue 1,1997,1997/1998
AS Monaco,Julien Rodriguez,19,Centre-Back,FC Istres,Free transfer,in,France;,NA,Ligue 1,1997,1997/1998
AS Monaco,Dado Prso,22,Centre-Forward,Stade Raphaëlois,Free transfer,in,Croatia;France;,NA,Ligue 1,1997,1997/1998
AS Monaco,Djibril Diawara,22,Centre-Back,AC Le Havre,?,in,Senegal;France;,NA,Ligue 1,1997,1997/1998
AS Monaco,Christophe Pignol,27,Left-Back,FC Nantes,?,in,France;,NA,Ligue 1,1997,1997/1998
AS Monaco,Ali Lukunku,21,Centre-Forward,ASOA Valence,?,in,DR Congo;France;,NA,Ligue 1,1997,1997/1998
AS Monaco,Willy Sagnol,20,Right-Back,Saint-Étienne,?,in,France;,NA,Ligue 1,1997,1997/1998
AS Monaco,Stéphane Carnot,24,Attacking Midfield,Guingamp,?,in,France;,NA,Ligue 1,1997,1997/1998
AS Monaco,Muhamed Konjic,27,Centre-Back,FC Zürich,?,in,Bosnia-Herzegovina;,NA,Ligue 1,1997,1997/1998
AS Monaco,Japhet N'Doram,31,Centre-Forward,FC Nantes,?,in,Chad;,NA,Ligue 1,1997,1997/1998
AS Monaco,Philippe Christanval,18,Centre-Back,Monaco B,-,in,France;Guadeloupe;,0,Ligue 1,1997,1997/1998
AS Monaco,Tony Sylva,22,Goalkeeper,SAS Epinal,"End of loanJun 30, 1997",in,Senegal;France;,0,Ligue 1,1997,1997/1998
AS Monaco,Sonny Anderson,26,Centre-Forward,FC Barcelona,£16.20m,out,Brazil;,16.2,Ligue 1,1997,1997/1998
AS Monaco,Gilles Grimandi,26,Defensive Midfield,Arsenal,£3.38m,out,France;,3.38,Ligue 1,1997,1997/1998
AS Monaco,Emmanuel Petit,26,Defensive Midfield,Arsenal,£3.38m,out,France;,3.38,Ligue 1,1997,1997/1998
AS Monaco,Dado Prso,22,Centre-Forward,AC Ajaccio,Loan,out,Croatia;France;,0,Ligue 1,1997,1997/1998
AS Monaco,Manuel dos Santos,23,Left-Back,Montpellier,Free transfer,out,Cape Verde;France;,NA,Ligue 1,1997,1997/1998
AS Monaco,Dan Petersen,25,Centre-Forward,RSC Anderlecht,?,out,Denmark;,NA,Ligue 1,1997,1997/1998
AS Monaco,Laurent Viaud,27,Defensive Midfield,Stade Rennais,?,out,France;,NA,Ligue 1,1997,1997/1998
AS Monaco,Enzo Scifo,31,Attacking Midfield,RSC Anderlecht,?,out,Belgium;,NA,Ligue 1,1997,1997/1998
AS Monaco,Marco Grassi,28,Centre-Forward,FC Sion,?,out,Switzerland;,NA,Ligue 1,1997,1997/1998
Olympique Marseille,Fabrizio Ravanelli,28,Centre-Forward,Middlesbrough,£6.66m,in,Italy;,6.66,Ligue 1,1997,1997/1998
Olympique Marseille,Christophe Dugarry,25,Centre-Forward,FC Barcelona,£4.95m,in,France;,4.95,Ligue 1,1997,1997/1998
Olympique Marseille,Cyril Domoraud,25,Centre-Back,G. Bordeaux,£2.25m,in,Cote d'Ivoire;France;,2.25,Ligue 1,1997,1997/1998
Olympique Marseille,Laurent Blanc,31,Sweeper,FC Barcelona,£2.25m,in,France;,2.25,Ligue 1,1997,1997/1998
Olympique Marseille,Frédéric Brando,23,Central Midfield,AC Le Havre,Free transfer,in,France;,NA,Ligue 1,1997,1997/1998
