club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
FC Girondins Bordeaux,Yoann Gourcuff,22,Attacking Midfield,AC Milan,£12.15m,in,France;,12.15,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Cédric Carrasso,27,Goalkeeper,Toulouse,£7.20m,in,France;,7.2,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Michaël Ciani,25,Centre-Back,FC Lorient,£3.60m,in,France;Guadeloupe;,3.6,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Jaroslav Plasil,27,Central Midfield,CA Osasuna,£2.70m,in,Czech Republic;,2.7,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Paul Lasne,20,Defensive Midfield,G. Bordeaux B,-,in,France;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Lamine Sané,22,Centre-Back,G. Bordeaux B,-,in,Senegal;France;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Henri Saivet,18,Attacking Midfield,G. Bordeaux B,-,in,Senegal;France;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Abdoulaye Keita,18,Goalkeeper,G. Bordeaux B,-,in,France;Senegal;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Matthieu Saunier,19,Centre-Back,G. Bordeaux B,-,in,France;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Grzegorz Krychowiak,19,Defensive Midfield,G. Bordeaux B,-,in,Poland;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Wilfried Moimbé,20,Left-Back,Reims,"End of loanJun 30, 2009",in,France;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Ted Lavie,23,Right-Back,SCO Angers,"End of loanJun 30, 2009",in,France;Congo;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Floyd Ayité,20,Left Winger,SCO Angers,"End of loanJun 30, 2009",in,Togo;France;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Florian Marange,23,Left-Back,AC Le Havre,"End of loanJun 30, 2009",in,France;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Cheick Diabaté,21,Centre-Forward,AC Ajaccio,"End of loanJun 30, 2009",in,Mali;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Gabriel Obertan,20,Right Winger,FC Lorient,"End of loanJun 30, 2009",in,France;Guadeloupe;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Souleymane Diawara,30,Centre-Back,Marseille,£5.85m,out,Senegal;France;,5.85,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Gabriel Obertan,20,Right Winger,Man Utd,£3.60m,out,France;Guadeloupe;,3.6,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Mathieu Valverde,26,Goalkeeper,US Boulogne,£450k,out,France;,0.45,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Paul Lasne,20,Defensive Midfield,LB Châteauroux,Loan,out,France;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Ted Lavie,23,Right-Back,Cannes,Free transfer,out,France;Congo;,NA,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Florian Marange,23,Left-Back,AS Nancy,Loan,out,France;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Wilfried Moimbé,20,Left-Back,AC Ajaccio,Loan,out,France;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Grzegorz Krychowiak,19,Defensive Midfield,Reims,Loan,out,Poland;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Kévin Olimpa,21,Goalkeeper,SCO Angers,Loan,out,Martinique;France;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Floyd Ayité,20,Left Winger,AS Nancy,Loan,out,Togo;France;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Matthieu Saunier,19,Centre-Back,Rodez AF,Loan,out,France;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Cheick Diabaté,21,Centre-Forward,AS Nancy,Loan,out,Mali;,0,Ligue 1,2009,2009/2010
FC Girondins Bordeaux,Yoann Gourcuff,22,Attacking Midfield,AC Milan,"End of loanJun 30, 2009",out,France;,0,Ligue 1,2009,2009/2010
AS Monaco,Mathieu Coutadeur,23,Central Midfield,Le Mans UC 72,£3.60m,in,France;,3.6,Ligue 1,2009,2009/2010
AS Monaco,Eduardo Costa,26,Defensive Midfield,São Paulo,£2.25m,in,Brazil;,2.25,Ligue 1,2009,2009/2010
AS Monaco,Eidur Gudjohnsen,30,Centre-Forward,FC Barcelona,£1.80m,in,Iceland;,1.8,Ligue 1,2009,2009/2010
AS Monaco,Moussa Maazou,21,Centre-Forward,CSKA Moscow,Loan fee:£630k,in,Niger;,0.63,Ligue 1,2009,2009/2010
AS Monaco,Sébastien Puygrenier,27,Centre-Back,Zenit S-Pb,Loan fee:£630k,in,France;,0.63,Ligue 1,2009,2009/2010
AS Monaco,Djimi Traoré,29,Centre-Back,Portsmouth,Free transfer,in,Mali;France;,NA,Ligue 1,2009,2009/2010
AS Monaco,Frédéric Bulot,18,Left Winger,Monaco B,-,in,Gabon;France;,0,Ligue 1,2009,2009/2010
