club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Manchester United,Cristiano Ronaldo,18,Left Winger,Sporting CP,£17.10m,in,Portugal;,17.1,Premier League,2003,2003/2004
Manchester United,Louis Saha,25,Centre-Forward,Fulham,£15.75m,in,France;Guadeloupe;,15.75,Premier League,2003,2003/2004
Manchester United,Kléberson,24,Central Midfield,Atlético-PR,£7.74m,in,Brazil;,7.74,Premier League,2003,2003/2004
Manchester United,Eric Djemba Djemba,22,Defensive Midfield,FC Nantes,£4.05m,in,Cameroon;France;,4.05,Premier League,2003,2003/2004
Manchester United,Tim Howard,24,Goalkeeper,MetroStars,£2.88m,in,United States;Hungary;,2.88,Premier League,2003,2003/2004
Manchester United,David Bellion,20,Centre-Forward,Sunderland,£2.70m,in,France;Senegal;,2.7,Premier League,2003,2003/2004
Manchester United,Fangzhuo Dong,18,Centre-Forward,DL Shide,£653k,in,China;,0.653,Premier League,2003,2003/2004
Manchester United,Danny Byrne,18,Defender,Unknown,?,in,Ireland;,NA,Premier League,2003,2003/2004
Manchester United,Chris Eagles,17,Right Winger,Man Utd U18,-,in,England;,0,Premier League,2003,2003/2004
Manchester United,Paul Tierney,21,Left-Back,Colchester Utd.,"End of loanFeb 1, 2004",in,Ireland;England;,0,Premier League,2003,2003/2004
Manchester United,Luke Chadwick,23,Attacking Midfield,Burnley,"End of loanMay 1, 2004",in,England;,0,Premier League,2003,2003/2004
Manchester United,Alan Tate,21,Centre-Back,Swansea,"End of loanDec 29, 2003",in,England;,0,Premier League,2003,2003/2004
Manchester United,Phil Bardsley,18,Right-Back,Royal Antwerp,"End of loanMay 18, 2004",in,Scotland;England;,0,Premier League,2003,2003/2004
Manchester United,David Jones,18,Central Midfield,Man Utd U18,-,in,England;Wales;,0,Premier League,2003,2003/2004
Manchester United,Phil Marsh,16,Centre-Forward,Man Utd U18,-,in,England;,0,Premier League,2003,2003/2004
Manchester United,Neil Wood,21,Central Midfield,Burnley,"End of loanMay 1, 2004",in,England;,0,Premier League,2003,2003/2004
Manchester United,Neil Wood,20,Central Midfield,Peterborough,"End of loanNov 1, 2003",in,England;,0,Premier League,2003,2003/2004
Manchester United,Hussein Yasser,21,Attacking Midfield,Royal Antwerp,"End of loanMay 3, 2004",in,Qatar;Egypt;,0,Premier League,2003,2003/2004
