club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Milan AC,Oliver Bierhoff,30,Centre-Forward,Udinese,£11.25m,in,Germany;,11.25,Serie A,1998,1998/1999
Milan AC,Thomas Helveg,27,Right-Back,Udinese,£7.65m,in,Denmark;,7.65,Serie A,1998,1998/1999
Milan AC,Roberto Ayala,25,Centre-Back,SSC Napoli,£6.75m,in,Argentina;Spain;,6.75,Serie A,1998,1998/1999
Milan AC,Jens Lehmann,28,Goalkeeper,FC Schalke 04,£3.87m,in,Germany;,3.87,Serie A,1998,1998/1999
Milan AC,Bruno N'Gotty,27,Centre-Back,Paris SG,£2.70m,in,France;,2.7,Serie A,1998,1998/1999
Milan AC,Luigi Sala,24,Centre-Back,Bari,£900k,in,Italy;,0.9,Serie A,1998,1998/1999
Milan AC,Christian Abbiati,20,Goalkeeper,Calcio Monza,£675k,in,Italy;,0.675,Serie A,1998,1998/1999
Milan AC,Federico Giunti,27,Defensive Midfield,AC Parma,£225k,in,Italy;,0.225,Serie A,1998,1998/1999
Milan AC,Aliyu Datti,16,Centre-Forward,Padova,?,in,Nigeria;Italy;,NA,Serie A,1998,1998/1999
Milan AC,Alessandro Iannuzzi,23,Forward,Lazio,?,in,Italy;,NA,Serie A,1998,1998/1999
Milan AC,Guly,24,Left Midfield,Gimnasia II,?,in,Argentina;Italy;,NA,Serie A,1998,1998/1999
Milan AC,Domenico Morfeo,22,Attacking Midfield,Fiorentina,Loan,in,Italy;,0,Serie A,1998,1998/1999
Milan AC,Giorgio Frezzolini,22,Goalkeeper,Cosenza,?,in,Italy;,NA,Serie A,1998,1998/1999
Milan AC,Luca Vitali,18,Central Midfield,AJ Fano,?,in,Italy;,NA,Serie A,1998,1998/1999
Milan AC,Pierluigi Orlandini,26,Right Midfield,AC Parma,?,in,Italy;,NA,Serie A,1998,1998/1999
Milan AC,Matteo Contini,18,Centre-Back,Milan U19,-,in,Italy;,0,Serie A,1998,1998/1999
Milan AC,Patrick Kluivert,22,Centre-Forward,FC Barcelona,£18.00m,out,Netherlands;Suriname;,18,Serie A,1998,1998/1999
Milan AC,Marcel Desailly,29,Centre-Back,Chelsea,£6.08m,out,France;Ghana;,6.08,Serie A,1998,1998/1999
Milan AC,Jens Lehmann,29,Goalkeeper,Bor. Dortmund,£3.60m,out,Germany;,3.6,Serie A,1998,1998/1999
Milan AC,Massimo Oddo,22,Right-Back,Calcio Monza,Loan fee:£225k,out,Italy;,0.225,Serie A,1998,1998/1999
Milan AC,Steinar Nilsen,26,Centre-Back,SSC Napoli,£180k,out,Norway;,0.18,Serie A,1998,1998/1999
Milan AC,André Cruz,30,Centre-Back,Standard Liège,Free transfer,out,Brazil;,NA,Serie A,1998,1998/1999
Milan AC,Zizi Roberts,19,Centre-Forward,Ravenna,Loan,out,Liberia;Spain;,0,Serie A,1998,1998/1999
Milan AC,Massimo Taibi,28,Goalkeeper,AC Venezia 1907,Free transfer,out,Italy;,NA,Serie A,1998,1998/1999
Milan AC,Dejan Savicevic,31,Attacking Midfield,Red Star,Free transfer,out,Montenegro;Serbia;,NA,Serie A,1998,1998/1999
Milan AC,Cristian Brocchi,22,Central Midfield,Hellas Verona,Free transfer,out,Italy;,NA,Serie A,1998,1998/1999
Milan AC,Samir Beloufa,18,Centre-Back,Calcio Monza,Loan,out,Algeria;France;,0,Serie A,1998,1998/1999
Milan AC,Massimo Maccarone,18,Centre-Forward,Modena,Loan,out,Italy;,0,Serie A,1998,1998/1999
Milan AC,Daniele Daino,18,Right-Back,SSC Napoli,Loan,out,Italy;,0,Serie A,1998,1998/1999
Milan AC,Massimo Maccarone,18,Centre-Forward,Prato,Loan,out,Italy;,0,Serie A,1998,1998/1999
Milan AC,Roberto Colombo,22,Goalkeeper,Calcio Monza,Loan,out,Italy;,0,Serie A,1998,1998/1999
Milan AC,Roberto De Zerbi,19,Attacking Midfield,Padova,?,out,Italy;,NA,Serie A,1998,1998/1999
Milan AC,Matteo Pelatti,20,Centre-Forward,Brescello Calcio,Loan,out,Italy;,0,Serie A,1998,1998/1999
Milan AC,Giuseppe Cardone,24,Right-Back,Vicenza,?,out,Italy;,NA,Serie A,1998,1998/1999
Milan AC,Marco Bonura,18,Central Midfield,AS Gubbio,?,out,Italy;,NA,Serie A,1998,1998/1999
Milan AC,Marcello Campolonghi,23,Second Striker,Lecce,?,out,Italy;,NA,Serie A,1998,1998/1999
Milan AC,Giampiero Maini,26,Defensive Midfield,Bologna,?,out,Italy;,NA,Serie A,1998,1998/1999
Milan AC,Gianluca Zanetti,20,Centre-Back,Calcio Monza,?,out,Italy;,NA,Serie A,1998,1998/1999
Milan AC,Dario Smoje,19,Centre-Back,Calcio Monza,?,out,Croatia;,NA,Serie A,1998,1998/1999
Milan AC,Matteo Contini,18,Centre-Back,Lumezzane,Loan,out,Italy;,0,Serie A,1998,1998/1999
Milan AC,Filippo Maniero,25,Centre-Forward,AC Venezia 1907,?,out,Italy;,NA,Serie A,1998,1998/1999
Milan AC,Simone Braglia,35,Goalkeeper,Como,?,out,Italy;,NA,Serie A,1998,1998/1999
AS Roma,Dmitri Alenichev,25,Central Midfield,Spartak Moscow,£6.30m,in,Russia;,6.3,Serie A,1998,1998/1999
AS Roma,Antônio Carlos Zago,29,Centre-Back,Corinthians,£3.15m,in,Brazil;Italy;,3.15,Serie A,1998,1998/1999
AS Roma,Alessandro Frau,21,Attacking Midfield,Torres,?,in,Italy;,NA,Serie A,1998,1998/1999
AS Roma,Ivan Tomic,22,Defensive Midfield,Partizan,?,in,Serbia;,NA,Serie A,1998,1998/1999
AS Roma,Gustavo Bartelt,23,Centre-Forward,Lanús,?,in,Argentina;,NA,Serie A,1998,1998/1999
AS Roma,Pierre Womé,19,Left-Back,Lucchese,?,in,Cameroon;,NA,Serie A,1998,1998/1999
AS Roma,Maurizio Lanzaro,16,Centre-Back,Roma U19,-,in,Italy;,0,Serie A,1998,1998/1999
AS Roma,Vágner,25,Defensive Midfield,Vasco da Gama,£405k,out,Brazil;,0.405,Serie A,1998,1998/1999
AS Roma,Manuele Blasi,17,Central Midfield,Lecce,Loan,out,Italy;,0,Serie A,1998,1998/1999
AS Roma,Giorgio Sterchele,29,Goalkeeper,Ternana,Loan,out,Italy;,0,Serie A,1998,1998/1999
AS Roma,Filippo Dal Moro,27,Left-Back,Ternana,Loan,out,Italy;,0,Serie A,1998,1998/1999
AS Roma,Cristian Servidei,26,Centre-Back,Ternana,?,out,Italy;,NA,Serie A,1998,1998/1999
AS Roma,Cristiano Scapolo,27,Attacking Midfield,SSC Napoli,?,out,Italy;,NA,Serie A,1998,1998/1999
AS Roma,Daniele Bordacconi,20,Midfielder,Foggia,?,out,Italy;,NA,Serie A,1998,1998/1999
AS Roma,Matteo Pivotto,24,Right-Back,Chievo Verona,?,out,Italy;,NA,Serie A,1998,1998/1999
AS Roma,Stefano Fanucci,19,Centre-Back,Teramo,?,out,Italy;,NA,Serie A,1998,1998/1999
AS Roma,Abel Balbo,32,Centre-Forward,AC Parma,?,out,Argentina;,NA,Serie A,1998,1998/1999
AS Roma,Marvin Ficarra,18,Goalkeeper,Retired,-,out,Italy;,0,Serie A,1998,1998/1999
FC Internazionale,Nicola Ventola,20,Centre-Forward,Bari,£18.90m,in,Italy;,18.9,Serie A,1998,1998/1999
FC Internazionale,Sébastien Frey,18,Goalkeeper,Cannes,£12.60m,in,France;,12.6,Serie A,1998,1998/1999
FC Internazionale,Dario Simic,22,Centre-Back,Croatia Zagreb,£9.90m,in,Croatia;,9.9,Serie A,1998,1998/1999
FC Internazionale,Mikaël Silvestre,20,Centre-Back,Stade Rennais,£6.30m,in,France;Guadeloupe;,6.3,Serie A,1998,1998/1999
FC Internazionale,Adrian Mutu,19,Centre-Forward,Dinamo Bukarest,£5.85m,in,Romania;,5.85,Serie A,1998,1998/1999
FC Internazionale,Gilberto,22,Central Midfield,Cruzeiro,£4.50m,in,Brazil;,4.5,Serie A,1998,1998/1999
FC Internazionale,Roberto Baggio,31,Second Striker,Bologna,£2.19m,in,Italy;,2.19,Serie A,1998,1998/1999
FC Internazionale,Andrea Pirlo,19,Defensive Midfield,Brescia,£1.80m,in,Italy;,1.8,Serie A,1998,1998/1999
FC Internazionale,Ousmane Dabo,21,Defensive Midfield,Stade Rennais,£1.39m,in,France;Senegal;,1.39,Serie A,1998,1998/1999
FC Internazionale,Zoumana Camara,19,Centre-Back,Saint-Étienne,£900k,in,France;Senegal;,0.9,Serie A,1998,1998/1999
FC Internazionale,Cristiano Zanetti,21,Defensive Midfield,Reggina,?,in,Italy;,NA,Serie A,1998,1998/1999
FC Internazionale,Raffaele Nuzzo,25,Goalkeeper,Gualdo,?,in,Italy;,NA,Serie A,1998,1998/1999
FC Internazionale,Ivan Rezic,18,Central Midfield,Varteks,?,in,Croatia;,NA,Serie A,1998,1998/1999
FC Internazionale,Nwankwo Kanu,22,Centre-Forward,Arsenal,£5.63m,out,Nigeria;,5.63,Serie A,1998,1998/1999
FC Internazionale,Davide Torretta,20,Midfielder,Sassuolo,?,out,Italy;,NA,Serie A,1998,1998/1999
FC Internazionale,Ousmane Dabo,21,Defensive Midfield,Vicenza,Loan,out,France;Senegal;,0,Serie A,1998,1998/1999
FC Internazionale,Luca Antonino Mezzano,21,Centre-Back,Perugia,?,out,Italy;,NA,Serie A,1998,1998/1999
FC Internazionale,Paolo Orlandoni,25,Goalkeeper,Reggina,?,out,Italy;,NA,Serie A,1998,1998/1999
FC Internazionale,Marco Branca,33,Centre-Forward,Middlesbrough,?,out,Italy;,NA,Serie A,1998,1998/1999
FC Internazionale,Cristiano Zanetti,21,Defensive Midfield,Cagliari Calcio,?,out,Italy;,NA,Serie A,1998,1998/1999
FC Internazionale,Zoumana Camara,19,Centre-Back,FC Empoli,Loan,out,France;Senegal;,0,Serie A,1998,1998/1999
FC Internazionale,Luigi Sartor,23,Right-Back,AC Parma,?,out,Italy;,NA,Serie A,1998,1998/1999
FC Internazionale,Martín Rivas,21,Centre-Back,Perugia,Loan,out,Uruguay;,0,Serie A,1998,1998/1999
FC Internazionale,Riccardo Ramazzotti,18,Defender,Pistoiese,?,out,Italy;,NA,Serie A,1998,1998/1999
FC Internazionale,Salvatore Fresi,25,Centre-Back,Salernitana,Loan,out,Italy;,0,Serie A,1998,1998/1999
FC Internazionale,Álvaro Recoba,22,Second Striker,AC Venezia 1907,Loan,out,Uruguay;Italy;,0,Serie A,1998,1998/1999
FC Internazionale,Andrea Mazzantini,30,Goalkeeper,Perugia,?,out,Italy;,NA,Serie A,1998,1998/1999
FC Internazionale,Matteo Ferrari,18,Centre-Back,Lecce,Loan,out,Italy;Guinea;,0,Serie A,1998,1998/1999
FC Internazionale,Misha Djorkaeff,24,Midfielder,Fréjus-St-Raph.,?,out,France;Armenia;,NA,Serie A,1998,1998/1999
FC Internazionale,Emanuele Barsotti,19,Midfielder,Retired,-,out,Italy;,0,Serie A,1998,1998/1999
AC Parma,Juan Sebastián Verón,23,Central Midfield,Sampdoria,£15.75m,in,Argentina;,15.75,Serie A,1998,1998/1999
AC Parma,Faustino Asprilla,28,Centre-Forward,Newcastle,£6.12m,in,Colombia;,6.12,Serie A,1998,1998/1999
AC Parma,Diego Fuser,29,Right Midfield,Lazio,£5.40m,in,Italy;,5.4,Serie A,1998,1998/1999
AC Parma,Luigi Sartor,23,Right-Back,Inter,?,in,Italy;,NA,Serie A,1998,1998/1999
AC Parma,Alain Boghossian,27,Central Midfield,Sampdoria,?,in,France;Armenia;,NA,Serie A,1998,1998/1999
AC Parma,Saliou Lassissi,20,Centre-Back,Sampdoria,?,in,Cote d'Ivoire;France;,NA,Serie A,1998,1998/1999
AC Parma,Paolo Vanoli,25,Centre-Back,Hellas Verona,?,in,Italy;,NA,Serie A,1998,1998/1999
AC Parma,Abel Balbo,32,Centre-Forward,AS Roma,?,in,Argentina;,NA,Serie A,1998,1998/1999
AC Parma,Zlatko Zebic,19,Attacking Midfield,FK Loznica,?,in,Jugoslawien (SFR);,NA,Serie A,1998,1998/1999
AC Parma,Roberto Stellone,20,Centre-Forward,Lucchese,?,in,Italy;,NA,Serie A,1998,1998/1999
AC Parma,Raffaele Longo,20,Central Midfield,SSC Napoli,?,in,Italy;,NA,Serie A,1998,1998/1999
AC Parma,Mohamed Kader,19,Centre-Forward,CA Bizertin,?,in,Togo;,NA,Serie A,1998,1998/1999
AC Parma,Davide Micillo,27,Goalkeeper,Atalanta,?,in,Italy;,NA,Serie A,1998,1998/1999
AC Parma,Gianluca De Angelis,17,Centre-Forward,Parma U19,-,in,Italy;,0,Serie A,1998,1998/1999
AC Parma,Jesper Blomqvist,24,Left Midfield,Man Utd,£6.30m,out,Sweden;,6.3,Serie A,1998,1998/1999
AC Parma,Adaílton,21,Second Striker,Paris SG,£1.80m,out,Brazil;Italy;,1.8,Serie A,1998,1998/1999
AC Parma,Federico Giunti,27,Defensive Midfield,Milan,£225k,out,Italy;,0.225,Serie A,1998,1998/1999
AC Parma,Roberto Stellone,21,Centre-Forward,Lecce,?,out,Italy;,NA,Serie A,1998,1998/1999
AC Parma,Simone Barone,20,Central Midfield,Padova,?,out,Italy;,NA,Serie A,1998,1998/1999
AC Parma,Pietro Strada,28,Left Midfield,Perugia,?,out,Italy;,NA,Serie A,1998,1998/1999
AC Parma,Zé Maria,24,Right-Back,Perugia,?,out,Brazil;Italy;,NA,Serie A,1998,1998/1999
