club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
1.FC Kaiserslautern,Marcel Witeczek,22,Centre-Forward,Bay. Uerdingen,£855k,in,Germany;,0.855,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Wolfgang Funkel,32,Centre-Back,Bay. Uerdingen,£360k,in,Germany;,0.36,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Thomas Vogel,26,Centre-Forward,Rot-Weiß Erfurt,£338k,in,Germany;,0.338,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Oliver Schäfer,22,Centre-Back,SC Freiburg,£194k,in,Germany;,0.194,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Jürgen Degen,23,Centre-Forward,VfL 93 Hamburg,£18k,in,Germany;,0.018,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Elvis Hajradinovic,18,Defender,K'lautern U19,-,in,North Macedonia;,0,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Andreas Kröhler,24,Forward,K'lautern II,-,in,Germany;,0,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Uwe Eckel,24,Forward,Hannover 96,"End of loanJun 30, 1991",in,Germany;,0,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Bruno Labbadia,25,Centre-Forward,Bayern Munich,£720k,out,Germany;,0.72,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Kay Friedmann,28,Centre-Back,1.FC Nuremberg,£360k,out,Germany;,0.36,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Joachim Stadler,21,Centre-Back,Bor. M'gladbach,£270k,out,Germany;,0.27,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Markus Schupp,25,Attacking Midfield,Wattenscheid 09,£225k,out,Germany;,0.225,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Uwe Eckel,24,Forward,Hamburger SV,£45k,out,Germany;,0.045,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Thomas Renner,24,Midfielder,Waldh. Mannheim,£45k,out,Germany;,0.045,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Bernhard Winkler,25,Centre-Forward,Wattenscheid 09,Loan,out,Germany;,0,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Kai Krämer,24,Centre-Back,Unknown,?,out,Germany;,NA,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Robert Zimmermann,28,Forward,Hessen Kassel,?,out,Germany;,NA,1 Bundesliga,1991,1991/1992
1.FC Kaiserslautern,Rainer Ernst,29,Midfielder,G. Bordeaux,?,out,Germany;,NA,1 Bundesliga,1991,1991/1992
1. FC Köln,Rico Steinmann,23,Right Midfield,Chemnitzer FC,£1.26m,in,Germany;,1.26,1 Bundesliga,1991,1991/1992
1. FC Köln,Henri Fuchs,21,Centre-Forward,Hansa Rostock,£1.13m,in,Germany;,1.13,1 Bundesliga,1991,1991/1992
1. FC Köln,André Trulsen,26,Centre-Back,FC St. Pauli,£585k,in,Germany;,0.585,1 Bundesliga,1991,1991/1992
1. FC Köln,Adrian Spyrka,23,Central Midfield,Saarbrücken,£540k,in,Germany;,0.54,1 Bundesliga,1991,1991/1992
1. FC Köln,Peter Müller,21,Midfielder,KV Mechelen,?,in,Germany;,NA,1 Bundesliga,1991,1991/1992
1. FC Köln,Sascha Häßler,18,Midfielder,1.FC Köln U19,-,in,Germany;,0,1 Bundesliga,1991,1991/1992
1. FC Köln,Alexander Bade,20,Goalkeeper,1.FC Köln II,-,in,Germany;,0,1 Bundesliga,1991,1991/1992
