club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Cardiff City,Garry Thompson,33,Forward,QPR,Free transfer,in,England;,NA,Championship,1993,1993/1994
Cardiff City,Steve Williams,18,Goalkeeper,Coventry,Free transfer,in,Wales;,NA,Championship,1993,1993/1994
Cardiff City,Kevin Brock,31,Midfielder,Newcastle,Loan,in,England;,0,Championship,1993,1993/1994
Cardiff City,Terry Evans,17,Right-Back,Unknown,?,in,Wales;,NA,Championship,1993,1993/1994
Cardiff City,Alan Knill,28,Centre-Back,Bury,Loan,in,Wales;England;,0,Championship,1993,1993/1994
Cardiff City,Nathan Blake,21,Centre-Forward,Sheffield Utd.,£378k,out,Wales;,0.378,Championship,1993,1993/1994
Cardiff City,Gavin Ward,23,Goalkeeper,Leicester,£225k,out,England;,0.225,Championship,1993,1993/1994
Cardiff City,Roger Gibbins,38,Central Midfield,Cwmbran,Free transfer,out,England;,NA,Championship,1993,1993/1994
Cardiff City,Andy Gorman,18,Right-Back,Yeovil Town,Free transfer,out,Wales;,NA,Championship,1993,1993/1994
Cardiff City,Paul Ramsey,31,Defensive Midfield,St. Johnstone,?,out,Northern Ireland;,NA,Championship,1993,1993/1994
Cardiff City,Chris Pike,31,Centre-Forward,Hereford Utd.,?,out,Wales;,NA,Championship,1993,1993/1994
Cardiff City,Kevin Ratcliffe,33,Centre-Back,Derby,?,out,Wales;,NA,Championship,1993,1993/1994
Cardiff City,Alan Knill,28,Centre-Back,Bury,"End of loanOct 1, 1993",out,Wales;England;,0,Championship,1993,1993/1994
Cardiff City,Kevin Brock,31,Midfielder,Newcastle,"End of loanApr 26, 1994",out,England;,0,Championship,1993,1993/1994
Fulham FC,Paul Mahorn,20,Forward,Spurs,Loan,in,England;,0,Championship,1993,1993/1994
Fulham FC,Robbie Herrera,23,Right-Back,QPR,?,in,England;,NA,Championship,1993,1993/1994
Fulham FC,Terry Angus,27,Centre-Back,Northampt. Town,?,in,England;,NA,Championship,1993,1993/1994
Fulham FC,Gus Hurdle,19,Defender,Dorchester,?,out,Barbados;England;,NA,Championship,1993,1993/1994
Fulham FC,Mark Newson,32,Defender,Barnet,?,out,England;,NA,Championship,1993,1993/1994
