club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Atlético Madrid,Roman Kosecki,27,Centre-Forward,CA Osasuna,?,in,Poland;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Pirri Mori,22,Attacking Midfield,Real Oviedo,?,in,Spain;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Moacir,23,Midfielder,Corinthians,?,in,Brazil;,NA,Primera Division,1993,1993/1994
Atlético Madrid,José Luis Caminero,25,Central Midfield,Real Valladolid,?,in,Spain;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Mami Quevedo,24,Central Midfield,Cádiz CF,?,in,Spain;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Tilico,28,Forward,Marbella FC,?,in,Brazil;,NA,Primera Division,1993,1993/1994
Atlético Madrid,José Soler,26,Midfielder,CD Badajoz,?,in,Spain;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Kiko Narváez,21,Centre-Forward,Cádiz CF,?,in,Spain;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Serge-Alain Maguy,22,Midfielder,Africa Sports,?,in,Cote d'Ivoire;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Pizo Gómez,29,Midfielder,Rayo Vallecano,"End of loanJun 30, 1993",in,Spain;,0,Primera Division,1993,1993/1994
Atlético Madrid,Paulo Futre,27,Left Winger,Benfica,£900k,out,Portugal;,0.9,Primera Division,1993,1993/1994
Atlético Madrid,Manolo Alfaro,22,Centre-Forward,Real Valladolid,Free transfer,out,Spain;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Bernd Schuster,33,Attacking Midfield,Bay. Leverkusen,Free transfer,out,Germany;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Ángel Mejías,34,Goalkeeper,Talavera CF,?,out,Spain;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Antonio Orejuela,32,Midfielder,Rayo Vallecano,?,out,Spain;,NA,Primera Division,1993,1993/1994
Atlético Madrid,José Luis Villarreal,27,Defensive Midfield,River Plate,?,out,Argentina;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Alfredo Santaelena,25,Midfielder,Dep. La Coruña,?,out,Spain;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Juan Carlos Aguilera,24,Right-Back,CD Tenerife,?,out,Spain;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Antonio Acosta,21,Midfielder,Cádiz CF,?,out,Spain;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Donato,30,Defensive Midfield,Dep. La Coruña,?,out,Spain;Brazil;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Vladan Lukic,23,Centre-Forward,Vojvodina,?,out,Serbia;,NA,Primera Division,1993,1993/1994
Atlético Madrid,Patxi Ferreira,26,Centre-Back,Sevilla FC,Loan,out,Spain;,0,Primera Division,1993,1993/1994
