,article_name,country,revision_id,article_quality,population
284,Chan Cheng,cambodia,714528251.0,Stub,16000000
285,Nhim Vanda,cambodia,714528803.0,Stub,16000000
286,Pen Panha,cambodia,714528886.0,Stub,16000000
287,Sieng Nam,cambodia,714529109.0,Stub,16000000
288,So Khun,cambodia,714529370.0,Stub,16000000
289,Nou Sam,cambodia,714529507.0,Stub,16000000
290,Rath Sarem,cambodia,716812326.0,Stub,16000000
291,Kong Vibol,cambodia,726543264.0,Stub,16000000
292,Monh Saphan,cambodia,726543284.0,Stub,16000000
293,Uk Rabun,cambodia,726543336.0,Stub,16000000
294,Ay Khorn,cambodia,726543872.0,Stub,16000000
295,Oung Ouen,cambodia,726688556.0,Stub,16000000
296,List of Deputy Prime Ministers of Cambodia,cambodia,730617957.0,Stub,16000000
297,Cambodian People's Party–FUNCINPEC coalition agreement,cambodia,732331264.0,Stub,16000000
298,Chuop Hell,cambodia,735512767.0,Stub,16000000
299,Kong Korm,cambodia,736093077.0,Stub,16000000
300,Chan Nak,cambodia,736538934.0,Stub,16000000
301,Huy Kanthoul,cambodia,736539294.0,Stub,16000000
302,Vorn Vet,cambodia,736715950.0,Stub,16000000
303,Yat Hwaidi,cambodia,737025619.0,Stub,16000000
304,Khim Tit,cambodia,737804996.0,Stub,16000000
305,Son Chhay,cambodia,738180794.0,Start,16000000
306,Kep Chuktema,cambodia,738478052.0,Start,16000000
307,Nuth Rumduol,cambodia,738512371.0,Stub,16000000
308,Khieu Thavika,cambodia,738804016.0,Stub,16000000
309,Norodom Phurissara,cambodia,738987957.0,Start,16000000
310,Daran Kravanh,cambodia,738989624.0,Stub,16000000
311,Sisowath Monireth,cambodia,738992094.0,Start,16000000
312,Sisowath Youtevong,cambodia,738992441.0,Start,16000000
313,Ou Chanrith,cambodia,739217591.0,Stub,16000000
314,Yem Ponhearith,cambodia,741680078.0,Stub,16000000
315,Chrea Sochenda,cambodia,741923960.0,Stub,16000000
316,Vong Kan,cambodia,742006559.0,Stub,16000000
317,Yos Son,cambodia,742067282.0,Stub,16000000
318,Hun Many,cambodia,744291790.0,Stub,16000000
319,Chhean Vam,cambodia,747052284.0,Stub,16000000
320,Oum Chheang Sun,cambodia,747052769.0,Stub,16000000
321,Norodom Kantol,cambodia,747053219.0,Stub,16000000
322,Khieu Rada,cambodia,747555899.0,Start,16000000
323,Ieu Koeus,cambodia,747628491.0,Stub,16000000
324,Cheng Heng,cambodia,747784875.0,Start,16000000
325,Mok Mareth,cambodia,747945224.0,Start,16000000
326,Kieng Vang,cambodia,748137241.0,Stub,16000000
327,Sisowath Watchayavong,cambodia,748488170.0,Stub,16000000
328,Sokhom So,cambodia,749156496.0,Stub,16000000
329,Min Sean,cambodia,749304614.0,Stub,16000000
330,Y Chhean,cambodia,749338398.0,Stub,16000000
331,Poa Bun Sreu,cambodia,749357713.0,Stub,16000000
332,Toan Vanthara,cambodia,749387326.0,Stub,16000000
333,Sok Soty,cambodia,749388858.0,Stub,16000000
334,Pal Sam Oeun,cambodia,749396845.0,Stub,16000000
335,Ngor Sovann,cambodia,749470256.0,Stub,16000000
336,Kea Sahorn,cambodia,749510551.0,Stub,16000000
337,Suos Kanan,cambodia,749517390.0,Stub,16000000
338,Im Chhun Lim,cambodia,749537624.0,Stub,16000000
339,Tram Iv Teuk,cambodia,749537772.0,Stub,16000000
340,Hem Khorn,cambodia,749561164.0,Stub,16000000
341,Um Nhanh,cambodia,749569686.0,Stub,16000000
342,Poa Try,cambodia,749570183.0,Stub,16000000
343,Yim Chhaily,cambodia,749683882.0,Stub,16000000
344,Ith Prang,cambodia,749704384.0,Stub,16000000
345,Try Chheang Huot,cambodia,749710492.0,Stub,16000000
346,Suk Sam Eng,cambodia,749945690.0,Stub,16000000
347,Nim Thot,cambodia,749967879.0,Stub,16000000
348,Ngin Khorn,cambodia,749970189.0,Stub,16000000
349,Sorn Inthor,cambodia,749977252.0,Stub,16000000
350,You Hockry,cambodia,750055098.0,Stub,16000000
351,Samrith Pech,cambodia,750074445.0,Stub,16000000
352,Un Neung,cambodia,750077042.0,Stub,16000000
353,Bou Thang,cambodia,750179637.0,Stub,16000000
354,Peter Khoy Saukam,cambodia,751227068.0,Start,16000000
355,Tuot Saron,cambodia,752967379.0,Start,16000000
356,Phoeurng Sackona,cambodia,752979708.0,Stub,16000000
357,Nhek Bun Chhay,cambodia,753086260.0,Stub,16000000
358,Cheam Yeab,cambodia,753684881.0,Stub,16000000
359,Chea Poch,cambodia,753689952.0,Stub,16000000
360,Chin Bun Sean,cambodia,753692176.0,Stub,16000000
361,Chhim Siek Leng,cambodia,753695057.0,Stub,16000000
362,Chea Soth,cambodia,753711610.0,Stub,16000000
363,Ke Pauk,cambodia,754318281.0,Stub,16000000
364,Kong Sam Ol,cambodia,754944744.0,Stub,16000000
365,Pho Proeung,cambodia,755504987.0,Stub,16000000
366,San Yun,cambodia,756129985.0,Stub,16000000
367,Tiv Ol,cambodia,756722795.0,Start,16000000
368,Son Ngoc Thanh,cambodia,758665997.0,C,16000000
369,Monovithya Kem,cambodia,759510662.0,Stub,16000000
370,Mom Chim Huy,cambodia,761412104.0,Stub,16000000
371,Norodom Norindeth,cambodia,761941416.0,Start,16000000
372,Hem Heng,cambodia,763098565.0,Start,16000000
373,Chum Bunrong,cambodia,763098588.0,Stub,16000000
374,Duong Vanna,cambodia,763316692.0,Stub,16000000
375,Chhay Tan,cambodia,763968613.0,Stub,16000000
376,Keat Chhon,cambodia,765244120.0,Stub,16000000
377,Ang Vong Vathana,cambodia,765375452.0,Stub,16000000
378,Keo Remy,cambodia,766576352.0,Stub,16000000
379,Sun Chanthol,cambodia,766834612.0,Start,16000000
380,Khieu Kanharith,cambodia,766836319.0,Stub,16000000
381,Chay Saing Yun,cambodia,767217618.0,Stub,16000000
382,Ek Sam Ol,cambodia,767218020.0,Stub,16000000
383,Ouk Rabun,cambodia,767867369.0,Stub,16000000
384,Hun Phoeung,cambodia,768488633.0,Stub,16000000
385,Nguon Nhel,cambodia,769381746.0,Stub,16000000
386,Khuon Sodary,cambodia,769381831.0,Stub,16000000
387,Sok Pheng,cambodia,769447485.0,Stub,16000000
388,Say Chhum,cambodia,769929584.0,Stub,16000000
389,Im Sothy,cambodia,771408501.0,Stub,16000000
390,Eng Chhai Eang,cambodia,773103096.0,Stub,16000000
391,Heng Pov,cambodia,773157273.0,Start,16000000
392,Him Chhem,cambodia,773455924.0,Stub,16000000
393,Ho Non,cambodia,773694865.0,Stub,16000000
394,Ho Vann,cambodia,773695304.0,Stub,16000000
395,Hul Savorn,cambodia,774100291.0,Stub,16000000
396,Pol Hom,cambodia,776153762.0,Stub,16000000
397,Thong Khon,cambodia,777665222.0,Stub,16000000
398,Hor Namhong,cambodia,777765537.0,C,16000000
399,Keo Saphal (Siem Reap politician),cambodia,778675539.0,Stub,16000000
400,Keo Saphal (Takeo politician),cambodia,778675542.0,Stub,16000000
