,page,country,rev_id,rev_ids,ratings,Geography,Population mid-2018 (millions)
18875,Rigmor Dam,faroese,780543271.0,780543271.0,Start,,
18876,Hanna Jensen,faroese,780543417.0,780543417.0,Start,,
18877,Sonja Jógvansdóttir,faroese,780543635.0,780543635.0,Start,,
18878,Karin Kjølbro,faroese,780543692.0,780543692.0,Start,,
18879,Jóannes Patursson,faroese,781915668.0,781915668.0,Start,,
18880,Erlendur Patursson,faroese,784440060.0,784440060.0,Start,,
18881,Niels Winther Poulsen,faroese,789029085.0,789029085.0,Stub,,
18882,Bjørt Samuelsen,faroese,789306157.0,789306157.0,Start,,
18883,Jenis av Rana,faroese,789307497.0,789307497.0,Start,,
18884,Heðin Mortensen,faroese,789307569.0,789307569.0,Start,,
18885,Rasmus Effersøe,faroese,789307632.0,789307632.0,Start,,
18886,Trygvi Samuelsen,faroese,789308387.0,789308387.0,Start,,
18887,Eilif Samuelsen,faroese,789308554.0,789308554.0,Stub,,
18888,Jógvan Skorheim,faroese,789310556.0,789310556.0,Start,,
18889,Louis Zachariasen,faroese,789708924.0,789708924.0,Start,,
18890,Annika Olsen,faroese,792595685.0,792595685.0,Start,,
18891,Páll á Reynatúgvu,faroese,793276089.0,793276089.0,Start,,
18892,Atli Dam,faroese,793277402.0,793277402.0,Start,,
18893,Henrik Old,faroese,793353435.0,793353435.0,Stub,,
18894,Marita Petersen,faroese,793394960.0,793394960.0,Start,,
18895,Pauli Ellefsen,faroese,796170338.0,796170338.0,Start,,
18896,Rasmus Rasmussen (writer),faroese,796170437.0,796170437.0,C,,
18897,Peter Mohr Dam,faroese,797450160.0,797450160.0,Stub,,
18898,Knút Wang,faroese,797493287.0,797493287.0,Start,,
18899,Sjúrður Skaale,faroese,797493405.0,797493405.0,C,,
18900,Høgni Hoydal,faroese,800723683.0,800723683.0,Start,,
18901,Kristina Háfoss,faroese,801638146.0,801638146.0,Start,,
18902,Sirið Stenberg,faroese,802476681.0,802476681.0,Start,,
18903,Eyðgunn Samuelsen,faroese,802515495.0,802515495.0,Stub,,
18904,Edva Jacobsen,faroese,802925425.0,802925425.0,Stub,,
18905,Aksel V. Johannesen,faroese,803145744.0,803145744.0,Start,,
18906,Djóni í Geil,faroese,803656387.0,803656387.0,Start,,
18907,Elsebeth Mercedis Gunnleygsdóttur,faroese,804422035.0,804422035.0,Stub,,
18908,Annita á Fríðriksmørk,faroese,806011231.0,806011231.0,Stub,,
18909,Katrin Kallsberg,faroese,806909915.0,806909915.0,Start,,
18910,H. C .W. Tórgarð,faroese,807297374.0,807297374.0,Start,,
21210,James Bisset (mayor),cape colony,647367482.0,647367482.0,Start,,
21211,Augustus Joseph Tancred,cape colony,651250302.0,651250302.0,Stub,,
21212,Johan Conrad Silberbauer,cape colony,653467222.0,653467222.0,Stub,,
21213,James Cotterell Hoole,cape colony,666596918.0,666596918.0,Stub,,
21214,Patrick Goold,cape colony,670210734.0,670210734.0,Start,,
21215,Andries Botha,cape colony,676828191.0,676828191.0,B,,
21216,Charles William Hutton,cape colony,680205631.0,680205631.0,C,,
21217,John Blades Currey,cape colony,693624260.0,693624260.0,Stub,,
21218,Joseph Orpen,cape colony,715016315.0,715016315.0,C,,
21219,Klaas Afrikaner,cape colony,718462130.0,718462130.0,Stub,,
21220,Christian Groepe,cape colony,723563811.0,723563811.0,B,,
21221,William Hume (Cape politician),cape colony,724976433.0,724976433.0,Start,,
21222,James Sivewright,cape colony,731817397.0,731817397.0,C,,
21223,William Downes Griffith,cape colony,731908828.0,731908828.0,Start,,
21224,John Sweet Distin,cape colony,737348283.0,737348283.0,Start,,
21225,John Thomas Eustace,cape colony,746923352.0,746923352.0,C,,
21226,Jeremias Ziervogel,cape colony,750299694.0,750299694.0,C,,
21227,Henry Latham Currey,cape colony,757832561.0,757832561.0,Start,,
21228,Henry Juta,cape colony,765333482.0,765333482.0,Stub,,
21229,Simeon Jacobs,cape colony,767856232.0,767856232.0,C,,
21230,William Schreiner,cape colony,771024710.0,771024710.0,C,,
21231,George Strahan,cape colony,775481498.0,775481498.0,Start,,
21232,John Bardwell Ebden,cape colony,776725178.0,776725178.0,Start,,
21233,Jan Hendrik Hofmeyr (Onze Jan),cape colony,779046359.0,779046359.0,C,,
21234,Charles Abercrombie Smith,cape colony,783249147.0,783249147.0,C,,
21235,Charles Brownlee,cape colony,783250295.0,783250295.0,C,,
21236,George Cathcart,cape colony,784693349.0,784693349.0,Start,,
21237,Henry Torrens,cape colony,784726341.0,784726341.0,Start,,
21238,Frederick Schermbrucker,cape colony,784765242.0,784765242.0,Start,,
21239,Richard Solomon (Attorney General),cape colony,784829553.0,784829553.0,Start,,
21240,Walter Hely-Hutchinson,cape colony,784862369.0,784862369.0,Start,,
21241,Henry White (Cape Treasurer General),cape colony,785566972.0,785566972.0,C,,
21242,Jacobus Wilhelmus Sauer,cape colony,786142993.0,786142993.0,C,,
21243,Charles Lennox Stretch,cape colony,786803200.0,786803200.0,Start,,
21244,John Tengo Jabavu,cape colony,786916027.0,786916027.0,Start,,
21245,Philip John Stigant,cape colony,786972727.0,786972727.0,Start,,
21246,Henry Pottinger,cape colony,787552653.0,787552653.0,C,,
21247,Thomas Charles Scanlen,cape colony,788098639.0,788098639.0,C,,
21248,Saul Solomon,cape colony,788361321.0,788361321.0,C,,
21249,Thomas Upington,cape colony,788717893.0,788717893.0,C,,
21250,Andries Stockenström (judge),cape colony,789120101.0,789120101.0,C,,
21251,Robert Wynyard,cape colony,789258720.0,789258720.0,C,,
21252,"John de Villiers, 1st Baron de Villiers",cape colony,789675927.0,789675927.0,C,,
21253,Philip Edmond Wodehouse,cape colony,792178662.0,792178662.0,C,,
21254,Charles Aken Fairbridge,cape colony,793643575.0,793643575.0,Stub,,
21255,William Howley Goodenough,cape colony,794193433.0,794193433.0,Start,,
21256,George Thomas Napier,cape colony,794346758.0,794346758.0,Start,,
21257,William Butler (British Army officer),cape colony,794705198.0,794705198.0,C,,
21258,"Sir George Yonge, 5th Baronet",cape colony,795625420.0,795625420.0,C,,
21259,Christoffel Brand,cape colony,796352977.0,796352977.0,C,,
21260,Henry Barkly,cape colony,796646347.0,796646347.0,C,,
21261,Lord Charles Somerset,cape colony,797029963.0,797029963.0,Start,,
21262,Benjamin D'Urban,cape colony,797735815.0,797735815.0,C,,
21263,John Charles Molteno,cape colony,797978795.0,797978795.0,C,,
21264,"George Macartney, 1st Earl Macartney",cape colony,798165649.0,798165649.0,C,,
21265,William Porter (Attorney General),cape colony,798383131.0,798383131.0,C,,
21266,David Tennant (politician),cape colony,798742813.0,798742813.0,C,,
21267,Andries Stockenström,cape colony,799373837.0,799373837.0,B,,
21268,"Sir Harry Smith, 1st Baronet",cape colony,799472552.0,799472552.0,C,,
21269,Charles Henry Darling,cape colony,800159179.0,800159179.0,Start,,
21270,John Paterson (Cape politician),cape colony,800767317.0,800767317.0,C,,
21271,John X. Merriman,cape colony,801351302.0,801351302.0,C,,
21272,Mpilo Walter Benson Rubusana,cape colony,801417570.0,801417570.0,C,,
21273,Henry Hugh Clifford,cape colony,801856640.0,801856640.0,C,,
21274,James Tennant Molteno,cape colony,801935094.0,801935094.0,C,,
21275,Leander Starr Jameson,cape colony,803177433.0,803177433.0,C,,
21276,Henry Bartle Frere,cape colony,803288472.0,803288472.0,B,,
21277,"Hercules Robinson, 1st Baron Rosmead",cape colony,803303116.0,803303116.0,C,,
21278,"Henry Loch, 1st Baron Loch",cape colony,803618569.0,803618569.0,C,,
21279,Francis Dundas,cape colony,803908887.0,803908887.0,Start,,
21280,Lowry Cole,cape colony,804277547.0,804277547.0,Start,,
21281,"Sir David Baird, 1st Baronet",cape colony,804362436.0,804362436.0,C,,
21282,James Rose Innes,cape colony,804497413.0,804497413.0,FA,,
21283,Nicolaas Frederic de Waal,cape colony,805157563.0,805157563.0,Stub,,
21284,"John Charles Molteno, Jr.",cape colony,805678535.0,805678535.0,C,,
21285,"Alfred Milner, 1st Viscount Milner",cape colony,805962015.0,805962015.0,C,,
21286,Gordon Sprigg,cape colony,806340214.0,806340214.0,C,,
21287,Cecil Rhodes,cape colony,806647373.0,806647373.0,B,,
21288,George Grey,cape colony,807290539.0,807290539.0,FA,,
21289,Peregrine Maitland,cape colony,807330872.0,807330872.0,C,,
21290,Thomas Francis Wade,cape colony,807401513.0,807401513.0,C,,
24513,"List of members of the National Assembly (South Korea), 1950–54",south korean,663348266.0,663348266.0,Stub,,
24514,Park In-won,south korean,703478926.0,703478926.0,Stub,,
24515,Kim Seung-kew,south korean,716323288.0,716323288.0,Stub,,
24516,Seo Young-kyo,south korean,717405394.0,717405394.0,Start,,
24517,Lee Wu-jong,south korean,723064614.0,723064614.0,Stub,,
24518,Yu In-chon,south korean,760062536.0,760062536.0,Start,,
24519,Kim Wan-ju,south korean,770622878.0,770622878.0,Stub,,
24520,Park Yong-jin,south korean,770623036.0,770623036.0,Start,,
24521,Lee Jong-kul,south korean,770757174.0,770757174.0,Stub,,
24522,Kim Hyun-jong,south korean,770760118.0,770760118.0,Stub,,
24523,Shin Ki-ha,south korean,774367693.0,774367693.0,Stub,,
24524,Lee Chunhee,south korean,775234175.0,775234175.0,Stub,,
24525,Ahn Dae-hee,south korean,775458263.0,775458263.0,Stub,,
24526,Ahn Gyu-baek,south korean,775458608.0,775458608.0,Start,,
24527,Park Hong-keun,south korean,775458639.0,775458639.0,Start,,
24528,Ahn Sang-yeong,south korean,777008205.0,777008205.0,Stub,,
24529,Jang Deok-jin,south korean,777070214.0,777070214.0,Stub,,
24530,Kim Jae-soon,south korean,778915319.0,778915319.0,Stub,,
24531,Kim Jin-sun,south korean,778916810.0,778916810.0,Stub,,
24532,Kim Il-ung,south korean,779544705.0,779544705.0,Stub,,
24533,Koo Kyo-hyun,south korean,779544873.0,779544873.0,Stub,,
24534,Ji Sang-wook,south korean,780227423.0,780227423.0,Start,,
24535,Chung Hong-won,south korean,781133659.0,781133659.0,Start,,
24536,Kim Byong-joon,south korean,781134255.0,781134255.0,Stub,,
24537,Hong Ihk-pyo,south korean,782498395.0,782498395.0,Start,,
24538,Jeon Soon-ok,south korean,782649404.0,782649404.0,Stub,,
24539,Lee Hae-chan,south korean,785317852.0,785317852.0,Start,,
24540,Yu Myung-hwan,south korean,790178486.0,790178486.0,Stub,,
24541,Yoon Young-kwan,south korean,790178940.0,790178940.0,Start,,
24542,Yoon Jeung-hyun,south korean,790179508.0,790179508.0,Stub,,
24543,Suh Sang-chul,south korean,790180349.0,790180349.0,Start,,
24544,Bak Maeng-woo,south korean,790471224.0,790471224.0,C,,
24545,Lee Wan-koo,south korean,791389950.0,791389950.0,Start,,
24546,Kim Chang-ryong,south korean,792037093.0,792037093.0,Start,,
24547,Yun Duk-min,south korean,794638210.0,794638210.0,Stub,,
24548,Cheong Yang-seog,south korean,795546187.0,795546187.0,Stub,,
24549,Chin Young,south korean,795546191.0,795546191.0,Start,,
24550,Kim Kwan-yong,south korean,795546228.0,795546228.0,Start,,
24551,Lee Hahn-koo,south korean,795546245.0,795546245.0,Stub,,
24552,Lee Jung-hyun (politician),south korean,795546256.0,795546256.0,Stub,,
24553,Kim Chong-hoh,south korean,797806095.0,797806095.0,Stub,,
24554,Chung Ho-yong,south korean,798295710.0,798295710.0,Stub,,
24555,Lee Jae-myung,south korean,798611948.0,798611948.0,Stub,,
24556,Lee Nak-hoon,south korean,799083872.0,799083872.0,C,,
24557,Yoo Il-ho,south korean,799945764.0,799945764.0,Stub,,
24558,Park Young-sun,south korean,800258105.0,800258105.0,C,,
24559,Kwon Young-ghil,south korean,800896932.0,800896932.0,Start,,
24560,In Jae-keun,south korean,800896981.0,800896981.0,Stub,,
24561,Kang Kum-sil,south korean,802728876.0,802728876.0,Stub,,
24562,Park Yong-ok,south korean,802955917.0,802955917.0,Stub,,
24563,Jeon Hye-sook,south korean,803383030.0,803383030.0,Stub,,
24564,Kim Un-yong,south korean,803838269.0,803838269.0,Start,,
24565,Sim Sang-jung,south korean,804816596.0,804816596.0,C,,
24566,Kim So-yeon (activist),south korean,804817210.0,804817210.0,Start,,
24567,Yi Yun-yong,south korean,804962117.0,804962117.0,Stub,,
24568,Byeon Yeong-tae,south korean,804962160.0,804962160.0,Stub,,
24569,Lee Beom-seok (foreign minister),south korean,804962170.0,804962170.0,Stub,,
24570,Yoo Chang-soon,south korean,804968129.0,804968129.0,Stub,,
24571,Lee Hyun-jae,south korean,804968364.0,804968364.0,Stub,,
24572,Hyun Soong-jong,south korean,804968483.0,804968483.0,Stub,,
24573,Yun Byung-se,south korean,804971432.0,804971432.0,Stub,,
24574,Kim Sung-hwan (politician),south korean,804971477.0,804971477.0,Stub,,
24575,Kim Suk-soo,south korean,804971686.0,804971686.0,Stub,,
24576,Kim Hwang-sik,south korean,804971888.0,804971888.0,Start,,
24577,Chang Sang,south korean,804972263.0,804972263.0,Stub,,
24578,Chang Taek-sang,south korean,805053478.0,805053478.0,Start,,
24579,"List of members of the South Korean Constituent Assembly, 1948–50",south korean,805158721.0,805158721.0,Stub,,
24580,Lim Su-kyung,south korean,805293256.0,805293256.0,C,,
24581,Ki Dong-min,south korean,805956890.0,805956890.0,Start,,
24582,Shin Sung-mo,south korean,805991409.0,805991409.0,Stub,,
24583,Chun Jung-bae,south korean,806073279.0,806073279.0,Start,,
24584,"List of members of the National Assembly (South Korea), 2012–2016",south korean,806073996.0,806073996.0,Start,,
24585,Han Duck-soo,south korean,806124709.0,806124709.0,Start,,
24586,Roh Tae-woo,south korean,806145466.0,806145466.0,C,,
24587,Han Myeong-sook,south korean,806182207.0,806182207.0,C,,
24588,Choo Mi-ae,south korean,806184478.0,806184478.0,C,,
24589,Na Kyung-won,south korean,806319565.0,806319565.0,Start,,
24590,Min Byung-doo,south korean,806399005.0,806399005.0,Start,,
24591,Choe Kwang-shik,south korean,806439224.0,806439224.0,Stub,,
24592,Choi Kyu-hah,south korean,806462613.0,806462613.0,C,,
24593,Won Sei-hoon,south korean,806511942.0,806511942.0,Stub,,
24594,Won Yoo-chul,south korean,806512047.0,806512047.0,Stub,,
24595,Kim Boo-kyum,south korean,806555857.0,806555857.0,Start,,
24596,Baek Du-jin,south korean,806590508.0,806590508.0,Stub,,
24597,"List of members of the National Assembly (South Korea), 2016–present",south korean,806749773.0,806749773.0,Start,,
24598,Park Chung-hee,south korean,806801805.0,806801805.0,B,,
24599,Chun Doo-hwan,south korean,806846283.0,806846283.0,C,,
24600,Roh Moo-hyun,south korean,806852494.0,806852494.0,B,,
24601,Lee Jung-hee,south korean,807021657.0,807021657.0,Start,,
24602,Song Yo-chan,south korean,807029190.0,807029190.0,Stub,,
24603,Kitack Lim,south korean,807057020.0,807057020.0,Start,,
24604,Park Geun-hye,south korean,807060237.0,807060237.0,B,,
24605,Do Jong-hwan,south korean,807122658.0,807122658.0,Start,,
24606,Assassination of Park Chung-hee,south korean,807142261.0,807142261.0,C,,
24607,Geum Min,south korean,807404528.0,807404528.0,Stub,,
24608,Nam Duck-woo,south korean,807423123.0,807423123.0,Stub,,
32472,Toluono Feti,samoan,671515606.0,671515606.0,Stub,,
32473,James Ah Koy,samoan,704919844.0,704919844.0,B,,
32474,Va'aelua Eti Alesana,samoan,705218371.0,705218371.0,Start,,
32475,Misa Telefoni Retzlaff,samoan,706207837.0,706207837.0,Start,,
32476,Luagalau Levaula Kamu,samoan,706804758.0,706804758.0,Stub,,
32477,Leafa Vitale,samoan,706837234.0,706837234.0,Stub,,
32478,Niko Lee Hang,samoan,707525246.0,707525246.0,Stub,,
32479,Tuu'u Anasi'i Leota,samoan,707525315.0,707525315.0,Stub,,
32480,Tuiloma Pule Lameko,samoan,707750982.0,707750982.0,Stub,,
32481,Laauli Leuatea Polataivao,samoan,714244543.0,714244543.0,Stub,,
32482,To’alepaiali’i Toeolesulusulu Salesa III,samoan,717442173.0,717442173.0,Stub,,
32483,Namulau’ulu Vavae Tuilagi,samoan,718995854.0,718995854.0,Stub,,
32484,Lefau Harry Schuster,samoan,719691980.0,719691980.0,Stub,,
32485,Tuitama Talalelei Tuitama,samoan,723152770.0,723152770.0,Stub,,
32486,Le Mamea Matatumua Ata,samoan,726724077.0,726724077.0,Stub,,
32487,Tole’afoa Solomona To’ailoa,samoan,726724455.0,726724455.0,Stub,,
32488,Lealailepule Rimoni Aiafi,samoan,738999542.0,738999542.0,Start,,
32489,Va'ai Papu Vailupe,samoan,739170575.0,739170575.0,Start,,
32490,Palusalue Fa’apo II,samoan,739170586.0,739170586.0,Start,,
32491,Tolofuaivalelei Falemoe Lei’ataua,samoan,739170620.0,739170620.0,Start,,
32492,A'eau Peniamina,samoan,739170646.0,739170646.0,Start,,
32493,Patu Ativalu,samoan,739170663.0,739170663.0,Stub,,
32494,Sua Sulu'ape Paulo II,samoan,740773350.0,740773350.0,C,,
32495,Asiata Sale'imoa Va'ai,samoan,745204530.0,745204530.0,Stub,,
32496,Aiono Nonumalo Sofara,samoan,748298776.0,748298776.0,Stub,,
32497,Mata'afa Faumuina Fiame Mulinu'u I,samoan,748384437.0,748384437.0,Start,,
32498,Fiame Mata'afa Faumuina Mulinu'u II,samoan,748477510.0,748477510.0,C,,
32499,Matatumua Maimoana,samoan,757107378.0,757107378.0,C,,
32500,Laulu Fetauimalemau Mata'afa,samoan,757107952.0,757107952.0,C,,
32501,Fiame Naomi Mata'afa,samoan,757562316.0,757562316.0,Start,,
32502,Safuneitu'uga Pa'aga Neri,samoan,757616961.0,757616961.0,Stub,,
32503,Gatoloaifaana Amataga Alesana-Gidlow,samoan,758953501.0,758953501.0,Stub,,
32504,Tuala Ainiu Iusitino,samoan,762572848.0,762572848.0,Stub,,
32505,Paul Alan Cox,samoan,767363297.0,767363297.0,C,,
32506,Tuala Falenaoti Tiresa Malietoa,samoan,771267864.0,771267864.0,Stub,,
32507,Toi Aukuso Cain,samoan,771651038.0,771651038.0,Stub,,
32508,Muagututagata Peter Ah Him,samoan,780759402.0,780759402.0,Stub,,
32509,Sua Rimoni Ah Chong,samoan,782134923.0,782134923.0,Start,,
32510,Luamanuvao Winnie Laban,samoan,782465136.0,782465136.0,Start,,
32511,Order of Merit of Samoa,samoan,782768517.0,782768517.0,Stub,,
32512,Sapa'u Ruperake Petaia,samoan,783679600.0,783679600.0,Stub,,
32513,Le Mamea Ropati,samoan,784413731.0,784413731.0,Start,,
32514,Tui Manuʻa Elisala,samoan,785553682.0,785553682.0,Start,,
32515,Mata'afa,samoan,786776338.0,786776338.0,Start,,
32516,Polataivao Fosi,samoan,787519332.0,787519332.0,C,,
32517,Tony Tuimavave,samoan,788649434.0,788649434.0,Start,,
32518,Tuimaleali'ifano,samoan,791884820.0,791884820.0,Stub,,
32519,Dave Solomon (rugby),samoan,793129536.0,793129536.0,Start,,
32520,Va'ai Kolone,samoan,793294077.0,793294077.0,Start,,
32521,Tamaseu Leni Warren,samoan,793926721.0,793926721.0,Stub,,
32522,Mata'afa Iosefo,samoan,794202189.0,794202189.0,Start,,
32523,Ale Vena Ale,samoan,796309750.0,796309750.0,Stub,,
32524,Keneti Sio,samoan,796377891.0,796377891.0,Stub,,
32525,Prime Minister of Samoa,samoan,797760961.0,797760961.0,C,,
32526,Tupua Tamasese Lealofi IV,samoan,798166885.0,798166885.0,Stub,,
32527,Tofilau Eti Alesana,samoan,798166951.0,798166951.0,Start,,
32528,Aiono Fanaafi Le Tagaloa,samoan,798494387.0,798494387.0,Start,,
32529,Le Tagaloa Pita,samoan,798807561.0,798807561.0,Start,,
32530,Aveau Niko Palamo,samoan,801057378.0,801057378.0,Stub,,
32531,Mark Gosche,samoan,801142102.0,801142102.0,Start,,
32532,Lauaki Namulauulu Mamoe,samoan,801175876.0,801175876.0,C,,
32533,Tufuga Efi,samoan,801182300.0,801182300.0,C,,
32534,Salamasina,samoan,801186581.0,801186581.0,Start,,
32535,Tupua Tamasese Meaʻole,samoan,801213484.0,801213484.0,Start,,
32536,Emma Kruse Va'ai,samoan,801564093.0,801564093.0,Start,,
32537,Tuilaepa Aiono Sailele Malielegaoi,samoan,801570141.0,801570141.0,C,,
32538,Tupua Tamasese,samoan,801746626.0,801746626.0,Start,,
32539,Tupua Tamasese Lealofi III,samoan,801944573.0,801944573.0,Start,,
32540,Olaf Frederick Nelson,samoan,802011301.0,802011301.0,Start,,
32541,Va'aletoa Sualauvi II,samoan,802218035.0,802218035.0,Start,,
32542,Faumuina Tiatia Liuga,samoan,802850235.0,802850235.0,Start,,
32543,Malietoa Tanumafili II,samoan,804303257.0,804303257.0,C,,
32544,Fuimaono Naoia Tei,samoan,804379271.0,804379271.0,Stub,,
32545,Fuiono Senio,samoan,804379277.0,804379277.0,Stub,,
32546,O le Ao o le Malo,samoan,806055721.0,806055721.0,GA,,
32547,William Sio,samoan,807177019.0,807177019.0,C,,
34944,Speaker of the Legislative Assembly of Montserrat,montserratian,674919905.0,674919905.0,Stub,,
34945,Peter Waterworth,montserratian,712713704.0,712713704.0,Stub,,
34946,Christopher J. Turner,montserratian,719256142.0,719256142.0,Start,,
34947,Howard Fergus,montserratian,725980651.0,725980651.0,Start,,
34948,Ashley Greenwood,montserratian,737169369.0,737169369.0,Start,,
34949,Teresina Bodkin,montserratian,757086597.0,757086597.0,Stub,,
34950,Shirley Osborne,montserratian,757086621.0,757086621.0,Stub,,
34951,Adrian Davis (governor),montserratian,762009545.0,762009545.0,Stub,,
34952,David G. P. Taylor,montserratian,768679602.0,768679602.0,Start,,
34953,Sarita Francis,montserratian,770131970.0,770131970.0,Start,,
34954,David Brandt (politician),montserratian,771351774.0,771351774.0,Stub,,
34955,Bertrand Osborne,montserratian,771351955.0,771351955.0,Stub,,
34956,Percival Austin Bramble,montserratian,771352057.0,771352057.0,Stub,,
34957,Winston Pond,montserratian,781452925.0,781452925.0,Stub,,
34958,Mary Rose Tuitt,montserratian,783821985.0,783821985.0,Start,,
34959,Tony Longrigg,montserratian,784856577.0,784856577.0,Stub,,
34960,Deborah Barnes-Jones,montserratian,784875662.0,784875662.0,Start,,
34961,William Henry Bramble,montserratian,788976365.0,788976365.0,C,,
34962,John Kemys Spencer-Churchill,montserratian,789918293.0,789918293.0,Stub,,
34963,Reuben Meade,montserratian,790614135.0,790614135.0,Start,,
34964,Wilfred Bennett Davidson-Houston,montserratian,791981452.0,791981452.0,Start,,
34965,Elizabeth Carriere,montserratian,793896767.0,793896767.0,Stub,,
34966,"Government House, Montserrat",montserratian,798265888.0,798265888.0,Start,,
34967,Donaldson Romeo,montserratian,799317293.0,799317293.0,Start,,
34968,Premier of Montserrat,montserratian,801175821.0,801175821.0,Start,,
34969,Governor of Montserrat,montserratian,806415676.0,806415676.0,Start,,
34970,Tony Abbott (governor),montserratian,806730593.0,806730593.0,Stub,,
36036,Chairman of the Island Council (Pitcairn),pitcairn islands,680532939.0,680532939.0,Stub,,
36037,Edgar Allen Christian,pitcairn islands,715823848.0,715823848.0,Stub,,
36038,Frederick Martin Christian,pitcairn islands,715823876.0,715823876.0,Stub,,
36039,John Lorenzo Christian,pitcairn islands,715823908.0,715823908.0,Stub,,
36040,Benjamin Stanley Young,pitcairn islands,717259837.0,717259837.0,Stub,,
36041,Edward Quintal,pitcairn islands,717338734.0,717338734.0,Stub,,
36042,Arthur Quintal I,pitcairn islands,717340951.0,717340951.0,Stub,,
36043,Fletcher Christian II,pitcairn islands,717340996.0,717340996.0,Stub,,
36044,Moses Young,pitcairn islands,717341064.0,717341064.0,Stub,,
36045,Matthew McCoy (Magistrate),pitcairn islands,717345596.0,717345596.0,Stub,,
36046,Arthur Quintal II,pitcairn islands,717346443.0,717346443.0,Stub,,
36047,Charles Christian II,pitcairn islands,717350782.0,717350782.0,Stub,,
36048,Norris Henry Young,pitcairn islands,717867039.0,717867039.0,Stub,,
36049,Arthur Galsworthy,pitcairn islands,719706841.0,719706841.0,Stub,,
36050,Jonathan Sinclair,pitcairn islands,731458576.0,731458576.0,Stub,,
36051,Simon Young (magistrate),pitcairn islands,748179514.0,748179514.0,Stub,,
36052,Brian Young (magistrate),pitcairn islands,749046736.0,749046736.0,Stub,,
36053,Joshua Hill (Pitcairn Island leader),pitcairn islands,751464749.0,751464749.0,Stub,,
36054,George Fergusson (diplomat),pitcairn islands,754790610.0,754790610.0,C,,
36055,James Russell McCoy,pitcairn islands,754935959.0,754935959.0,Start,,
36056,Matthew Edmond McCoy,pitcairn islands,754935982.0,754935982.0,Stub,,
36057,Richard Fell,pitcairn islands,764601118.0,764601118.0,Start,,
36058,William Alfred Young,pitcairn islands,779056744.0,779056744.0,Stub,,
36059,Governor of Pitcairn,pitcairn islands,782764117.0,782764117.0,Start,,
36060,Martin Williams (diplomat),pitcairn islands,783746509.0,783746509.0,Stub,,
36061,David Aubrey Scott,pitcairn islands,785508390.0,785508390.0,Start,,
36062,Harold Smedley,pitcairn islands,788318957.0,788318957.0,Start,,
36063,List of high commissioners of the United Kingdom to New Zealand,pitcairn islands,790881651.0,790881651.0,Start,,
36064,Betty Christian,pitcairn islands,791265995.0,791265995.0,Start,,
36065,Meralda Warren,pitcairn islands,794905581.0,794905581.0,C,,
36066,Victoria Treadell,pitcairn islands,795649021.0,795649021.0,Start,,
36067,Charles Richard Parkin Christian,pitcairn islands,796203049.0,796203049.0,Stub,,
36068,Warren Clive Christian,pitcairn islands,796203180.0,796203180.0,Stub,,
36069,Jay Warren,pitcairn islands,796203252.0,796203252.0,Start,,
36070,Robert Alston,pitcairn islands,796592041.0,796592041.0,Stub,,
36071,Butterworth Stavely,pitcairn islands,797221428.0,797221428.0,Start,,
36072,Gerard Bromley Robert Christian,pitcairn islands,799551777.0,799551777.0,Stub,,
36073,Ivan Christian,pitcairn islands,799551778.0,799551778.0,Stub,,
36074,Pervis Ferris Young,pitcairn islands,799551779.0,799551779.0,Stub,,
36075,Thursday October Christian II,pitcairn islands,799551780.0,799551780.0,Start,,
36076,Brenda Christian,pitcairn islands,799551784.0,799551784.0,Start,,
36077,Shawn Christian (mayor),pitcairn islands,800137512.0,800137512.0,Start,,
36078,List of rulers of the Pitcairn Islands,pitcairn islands,801175970.0,801175970.0,Start,,
38841,Earl Asim Martin,saint kitts and nevis,687127320.0,687127320.0,Stub,,
38842,Paul Southwell,saint kitts and nevis,703666654.0,703666654.0,Start,,
38843,Lee Moore (politician),saint kitts and nevis,709078753.0,709078753.0,Stub,,
38844,Joseph Parry (politician),saint kitts and nevis,709078817.0,709078817.0,Start,,
38845,Robert James Dugu Gordon,saint kitts and nevis,710428915.0,710428915.0,Stub,,
38846,Sam Condor,saint kitts and nevis,720360218.0,720360218.0,Stub,,
38847,Joseph Nathaniel France,saint kitts and nevis,720572188.0,720572188.0,Stub,,
38848,Shawn Richards,saint kitts and nevis,723892438.0,723892438.0,Start,,
38849,Patrice Nisbett,saint kitts and nevis,737165159.0,737165159.0,Stub,,
38850,Premier of Nevis,saint kitts and nevis,757950077.0,757950077.0,Stub,,
38851,Vance Amory,saint kitts and nevis,774778329.0,774778329.0,C,,
38852,Edmund Wickham Lawrence (Governor-General),saint kitts and nevis,778464259.0,778464259.0,Start,,
38853,Ada Mae Edwards,saint kitts and nevis,779378782.0,779378782.0,Start,,
38854,Constance V. Mitcham,saint kitts and nevis,779379168.0,779379168.0,Start,,
38855,Marcella Liburd,saint kitts and nevis,783358108.0,783358108.0,Start,,
38856,Mark Brantley,saint kitts and nevis,784208810.0,784208810.0,Start,,
38857,Attorney General of Saint Kitts and Nevis,saint kitts and nevis,787971501.0,787971501.0,Start,,
38858,Clement Arrindell,saint kitts and nevis,788231533.0,788231533.0,Start,,
38859,Tapley Seaton,saint kitts and nevis,792406694.0,792406694.0,Start,,
38860,Konris Maynard,saint kitts and nevis,794794927.0,794794927.0,Stub,,
